DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Undead_GraveDigger_Swing,Axe,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.5,1,1,0,0,0,15,15,15,0,1,0,0.75,0,0,0,0.78,0,1,0,0.75,0,0,,0,Small,Small,1,0.75,1,1
Undead_GraveDigger_Charge,Axe,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.45,1,1,0,0,0,16,19,16,0,1.15,0,0.8,0,0,0,0.82,0,1.15,0,0.8,0,0,,0,Small,Small,1,0.82,1,1
Undead_GraveDigger_Overhead,Axe,0,0,,Bullet,Heavy,Strike,,AI_Disease,true,Deflect_Default,false,1.3,1,1,2,2,2,21,24,21,0,1.45,0,0.78,0,0,0,0.83,0,1.45,0,0.78,0,1,,0,Small,Small,3,1.55,1,1
Undead_GraveDigger_Stab,Axe,0,0,,Bullet,Light,Thrust,,,,Deflect_Default,false,0.42,1,1,0,0,0,16,16,16,0,1.1,0,0.74,0,0,0,0.77,0,1.1,0,0.74,0,0,,0,Small,Small,1,0.45,1,0
Undead_GraveDigger_SiphonStab,Axe,0,0,,Bullet,Light,Thrust,,,,Deflect_Default,false,0.38,1,1,0,0,0,13,11,13,0,0.9,0,0.74,0,0,0,0.78,0,0.9,0,0.74,0,0,,0,Small,Small,1,0.4,1,0
Undead_GraveDigger_Storm,Axe,0,0,,Bullet,Light,Strike,,AI_Disease,true,Deflect_Default,false,0.4,1,1,0,0,0,25,35,25,0,0.85,0,0.78,0,0,0,0.8,0,0.85,0,0.78,0,1.2,,1,Small,Small,1,0.38,1,0.25
Undead_GraveDigger_Storm_Final,Axe,0,0,,Bullet,Heavy,Strike,,AI_Disease,true,Deflect_Default,false,0.65,1,1,1,2,1,16,24,16,0,1.9,0,0.81,0,0,0,0.82,0,1.9,0,0.81,0,1.2,,1,Small,Small,2,0.75,1,1
Undead_GraveDigger_Siphon,GravediggerLifesteal,0,1,,,Magic,Arcane,,AI_Disease_GraveDigger,,,false,0.08,1,1,,,,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,3,,0,,,0,0,0,0
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,3,,,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,3,,,1
