DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,Unblockable,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
ClawSwipe,Unarmed,0,0,,,Bullet,Light,Slash,,,,Deflect_Default,false,0.25,1,1,0,0,0,0,0,0,0,0.35,0,0.8,0,0,0,0.8,0,0.35,0,0.8,0,0.6,,1,,,1,0.25,1,1,,0.1625,0.325
ClawSwipe_Overhead,Unarmed,0,0,,,Bullet,Light,Slash,,,,Deflect_Default,false,0.35,1,1,3,3,3,35,30,35,0,0.25,0,0.8,0,0,0,0.8,0,0.25,0,0.8,0,0.8,,1,,,1,0.4,1,1,,0.1625,0.325
Perilous_Leap,Unarmed,0,0,,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.6,1,1,3,3,3,30,15,30,0.5,2.75,0,0.8,0.25,2.25,0,0.8,0.5,2.75,0,0.8,0,1.2,,1,,,1,0.5,1,1,,0.1625,0.325
Heartstopper,Unarmed,0,0,,,Bullet,Heavy,Thrust,,AI_Bleed_9,,Deflect_Default,false,0.8,1,1,7,5,7,90,75,90,0,2,0,0.8,0,1.5,0,0.8,0,2,0,0.8,0,1.2,,1,,,1,1,1,1,,0.1625,0.325
Heartstopper_Followup,Unarmed,0,0,,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.35,1,1,4,2,2,25,25,25,0,6,0,0.8,0,0,0,0.8,0,0.1,0,0.8,0,1.2,,1,,,1,0.3,1,1,,0.1625,0.325
Heartstopper_FollowupConsume,Unarmed,1,0,,,Bullet,Magic,Arcane,,AI_Upyr_Shade_PlayerBeingConsumed,true,Deflect_Default,false,0.35,1,1,11,11,11,0,0,0,0,-1.4,0,0.7,0,-1.4,0,0.7,0,-1.4,0,0.7,0,1.2,,1,,,1,0.3,1,1,,0.1625,0.325
Consume_Meatbag,Unarmed,1,1,,,,Magic,Arcane,,AI_Upyr_Consuming_Meatbag,,Deflect_Default,false,0.1,0.1,0.1,81,81,81,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,,,1,0.4,1,1,,0.1625,0.325
Consume_Done,Unarmed,1,0,,,Bullet,Magic,Arcane,,,,Deflect_Default,false,0.2,0.2,0.2,0,0,0,25,25,25,0,5,0,0.8,0,5,0,0.8,0,0.5,0,0.8,0,0,,1,,,1,0.5,1,1,true,0.1625,0.325
Consume_Player,Unarmed,0,0,,,Bullet,Magic,Arcane,,,,Deflect_Default,false,0.5,0.5,0.5,4,4,4,25,25,25,0,5,0,0.8,0,5,0,0.8,0,0.5,0,0.8,0,0,,1,,,1,0.5,1,1,true,0.1625,0.325
EnrageExplode,Unarmed,0,0,,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.5,1,1,0,0,0,0,0,0,1.25,1.25,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.6,,1,,,1,0.35,1,1,,0.1625,0.325
EnrageExplode_KillSelf,Unarmed,0,1,,,Bullet,Heavy,Arcane,,,,Deflect_Default,false,1000,1,1,0,0,0,0,0,0,1.25,1.25,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.6,,1,,,1,0.35,1,1,,0.1625,0.325
