DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,Unblockable,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Spell_CallLightningStorm,,0,0,,Bullet,Magic,Lightning,,,,,,Deflect_Default,,false,4,0.5,1,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,,,0,0.6,1,0,0,,0.1625,0.325
Spell_CallLightningBurst,,0,0,,Bullet,Magic,Lightning,,,,,,Deflect_Default,,false,1,1,1,1,1,1,12,12,12,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,,,0,0.6,1,1,0,,0.1625,0.325
Spell_Turret_Projectile,,0,0,true,Bullet,Magic,Arcane,,,,,,Deflect_Default,,false,1,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,,,0,0,0,0,0,,0.1625,0.325
Spell_GustingSlash,,0,0,true,Bullet,Magic,Nature,,,,,,Deflect_Default,true,false,2,0.5,0.5,0,0,0,10,12,15,0,0,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0.4,0,1,Small,Small,2,0.4,1,1,0,,0.1625,0.325
Spell_DodgeBombExplosion,,0,0,,Bullet,Magic,Arcane,,,,,,,,false,4,1,1,3,3,3,32,32,36,0,3,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1,1,1,Small,Small,0,0.8,1,1,0,,0.1625,0.325
Powerup_Deathbattle,,0,0,,,Magic,Fire,,,,,,Deflect_Default,,,0.5,1,0.5,0,0,0,15,12,15,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,1,1,1,,Small,0,0.8,1,1,0,,0.1625,0.325
FlameThrower_Trap_Primary,,0,0,true,,Ability,Fire,,,,,,Deflect_Default,true,,0.5,1.3,0.5,0,0,0,15,12,15,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,1,1,1,Small,Small,0,0.8,1,1,0,,0.1625,0.325
FlameThrower_Trap_Initial,,0,0,true,,Ability,Fire,,,,Catacombs_FlameThrowerTrap_Dot,,Deflect_Default,true,,1.25,1.25,1.25,2,2,2,25,20,25,0,0.25,0,0.85,0,0.25,0,0.8,0,0.25,0,0.85,0,1,1,1,Small,Small,0,0.8,1,1,0,,0.1625,0.325
Catacombs_Powerup_Manaward,Unarmed,0,0,,1,Strike,,,,,,,,false,true,1,1,,3,2,2,50,30,50,0,2,0.5,0.8,0,0,0,0.8,0,3,3,,,,,4,1,1,1,,,0.1625,0.325,,,
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,Small,0,0,0,0,0,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,Small,0,0,0,0,0,,0.1625,0.325
