DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,0,0,0,15,10,15,0,0.7,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.1,,1,3,0.1,1,Small ,Small,Small ,0,0.1625,0.325
Attack_Rampage,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.2,1,1,0,0,0,15,10,15,0,0.25,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.2,,1,3,0.2,1,Small ,,Small ,0,0.1625,0.325
Attack_Run_Flurry,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.2,1,1,0,0,0,20,15,20,0,0.25,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,1,3,0.2,1,Small ,,Small ,0.4,0.1625,0.325
Attack_Run_Flurry_Slam,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.5,1,1,2,2,2,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,1,3,0.2,1,Small ,,Small ,0.4,0.1625,0.325
Attack_Stretch_Smash,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.75,0.65,1,0,0,0,10,15,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.5,,1,3,0.6,1,Large,,Large,1,0.1625,0.325
Attack_Grab,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,2,2,2,20,15,20,0,-4,0,0.8,0,0,0,0.8,0,-4,0,0.8,0,0.2,,1,3,0.2,1,Small ,,Small ,0.5,0.1625,0.325
Attack_Grab_Bite,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,1,1,3,2,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.4,,1,3,0.2,1,Large,,Large,0.5,0.1625,0.325
Impaler_Spike,Impaler_spike,0,0,true,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.2,1,1,0,1,0,15,10,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.1,,1,3,0.1,1,Small ,,Small ,0,0.1625,0.325
Impaler_Swipe,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.3,1,1,0,1,3,30,15,30,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,1,3,0.3,1,Small ,,Small ,1,0.1625,0.325
Impaler_SpikeSwipe,Impaler_spike,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.1,1,1,0,0,0,30,15,30,0,0.25,0,0.8,0,0,0,0.8,0,0.25,0,0.8,0,0.2,,1,3,0.1,1,Small ,,Small ,0.5,0.1625,0.325
Deflect_Default,Blunt_AI,1,0,,,,Deflect,,,,,false,0,1,1,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,1,,1,3,1,1,,,,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,1,1,,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,1,1,Small,,Small,1,0.1625,0.325
