DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Broken_2H_Slash_L,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.7,1,0.7,0,1,0,30,10,30,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_2H_Slash_L_R,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,1,1,1,3,3,3,30,25,30,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.75,1,1,0.1625,0.325
Broken_2H_TurnAround_Overhead,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,1.1,1,1.1,3,3,3,35,30,35,0,3,0,0.8,0,0,0,0,0,3,0,0.8,0,1,,1,Small,Small,Small,3,1.1,1,1,0.1625,0.325
Broken_2H_TurnAround_Overhead_Strike,Sword,0,0,Bullet,Heavy,Strike,,,,,,,,false,1.1,1,1.1,3,3,3,35,30,35,0,3,0,0.8,0,0,0,0,0,3,0,0.8,0,1,,1,Small,Small,Small,3,1.1,1,1,0.1625,0.325
Broken_2H_TurnAround_Slash,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,1.1,1,1.1,4,4,4,35,30,35,0,3,0,0.8,0,0,0,0,0,3,0,0.8,0,1,,1,Small,Small,Small,4,1.1,1,1,0.1625,0.325
Broken_2H_TurnAround_Strike,Sword,0,0,Bullet,Heavy,Strike,,,,,,,,false,1.1,1,1.1,4,4,4,35,30,35,0,3,0,0.8,0,0,0,0,0,3,0,0.8,0,1,,1,Small,Small,Small,4,1.1,1,1,0.1625,0.325
Broken_2H_Flurry,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.4,1,0.4,1,2,1,25,20,25,0,0.2,0,0.8,0,0,0,0,0,0.2,0,0.8,0,1,,1,Small,Small,Small,2,0.4,1,1,0.1625,0.325
Broken_2H_Flurry_Strike,Sword,0,0,Bullet,Light,Strike,,,,,,,,false,0.4,1,0.4,1,2,1,25,20,25,0,0.2,0,0.8,0,0,0,0,0,0.2,0,0.8,0,1,,1,Small,Small,Small,2,0.4,1,1,0.1625,0.325
Skeleton_2H_Flurry,Sword,0,0,Bullet,Light,Strike,,,,,,,,false,0.4,1,0.4,0,1,0,25,10,25,0,0.2,0,0.8,0,0,0,0,0,0.2,0,0.8,0,1,,1,Small,Small,Small,2,0.4,1,1,0.1625,0.325
Skeleton_2H_Overhead,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,0.9,1,0.9,3,3,3,25,25,25,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_2H_Overhead,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,0.5,3,3,3,25,25,25,0,1.5,0,0.8,0,0,0,0,0,1.5,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Skeleton_2H_Flurry2,Sword,0,0,Bullet,,Standard,,,,,,,,false,0.6,1,0.6,2,2,2,25,20,25,0,0.2,0,0.8,0,0,0,0,0,0.2,0,0.8,0,1,,1,Small,Small,Small,2,0.4,1,1,0.1625,0.325
Broken_1H_Slash_Standing,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,1,0,20,10,20,0,1.25,0,0.8,0,0,0,0.2,0,1.25,0,0.8,0,1,,1,Small,Small,Small,2,1,1,1,0.1625,0.325
Broken_1H_Slash_L,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,1,0,20,10,20,0,0.75,0,0.8,0,0,0,0,0,0.75,0,0.8,0,1,,1,Small,Small,Small,2,1,1,1,0.1625,0.325
Broken_1H_Slash_L_Strike,Sword,0,0,Bullet,Light,Strike,,,,,,,,false,0.5,1,0.5,0,1,0,20,10,20,0,0.75,0,0.8,0,0,0,0,0,0.75,0,0.8,0,1,,1,Small,Small,Small,2,1,1,1,0.1625,0.325
