DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset
Corruption_Shot,DynastyMagic,1,,,Bullet,Light,Corruption,,,,,0,0.6,1,1,0,0,0,10,10,10,0,1,0,0.8,0,1,0,0.8,0,0.5,0,0.8,0,0.6,,1,Small,Small,Small,3,0.6,1,0,
Pearl_ Sweep,,,,,Bullet,Light,Strike,AI_CorruptionDMG_25,,,,0,0.4,1,1,0,0,0,10,10,10,0,1.5,0,0.8,0,1.5,0,0.8,0,1.5,0,0.8,0,0.5,,1,Small,Small,Small,3,0.1,1,1,
Pearl_ Sweep_Arm,,,,,Bullet,Light,Strike,,,,,0,0.3,1,1,0,0,0,10,10,10,0,2.5,0,0.8,0,2.5,0,0.8,0,2.5,0,0.8,0,0.5,,1,Small,Small,Small,3,0.1,1,0.5,
Pearl_ Sweep_Combo,,,,,Bullet,Light,Strike,AI_CorruptionDMG_25,,,,0,0.25,1,1,0,0,0,10,10,10,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.3,,1,Small,Small,Small,3,0.1,1,0.5,
Pearl_ Sweep_Arm_Combo,,,,,Bullet,Light,Strike,,,,,0,0.2,1,1,0,0,0,10,10,10,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.3,,1,Small,Small,Small,3,0.1,1,0.5,
Dragon_Breath,,1,,,Bullet,Magic,Corruption,,AI_Empress_DragonBurn,TRUE,,FALSE,1.32,1,1,4,4,4,30,25,30,0,2.5,0,0.8,0,2.5,0,0.8,0,2,0,0.8,0,0.6,,1.5,Small,Small,Small,3,1.6,1,1,
Dragon_Dive,,1,,,Bullet,Magic,Corruption,,AI_Empress_DragonBurn,TRUE,,FALSE,1.1,1,1,3,3,3,30,25,30,3,2.5,0,0.8,3,2.5,0,0.8,3,2,0,0.8,0,0.6,,1.5,Small,Small,Small,3,1.4,1,1,
Dragon_Round,,,,,Bullet,Magic,Corruption,,,,,FALSE,1.27,1,1,4,4,4,40,35,30,0,5,0,0.8,0,5,0,0.8,0,5,0,0.8,0,0.6,,1.5,Small,Small,Small,3,2,1,1,
Dragon_Breath_Bump,,1,,,Bullet,Heavy,Strike,,,,,FALSE,0.2,1,1,3,3,3,25,20,25,0,2,0,0.8,0,2,0,0.8,0,2,0,0.8,0,0.6,,1.5,Small,Small,Small,3,1.6,1,0,
Dragon_Round_Bump,,,,,Bullet,Heavy,Strike,,,,,FALSE,0.2,1,1,3,4,4,25,20,25,0,2,0,0.8,0,2,0,0.8,0,2,0,0.8,0,0.6,,1.5,Small,Small,Small,3,1.2,1,0,
Breakout_Attack,,,,,Bullet,Heavy,Strike,,,,,FALSE,0.7,1,1,4,4,4,40,35,30,0,3,0,0.8,0,3,0,0.8,0,3,0,0.8,0,0.6,,1.5,Small,Small,Small,3,1.6,1,0,
Fall,Fall,,1,1,Bullet,,Falling,,,,,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,0.5,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10,Small,,,1,,,,1
