DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge,EnableSharedDamage,MaxAllowedDamageShareCount,UseAttackerPosForReaction
Attack_Swipe,Sword,0,0,,Bullet,Light,Slash,,false,,,Deflect_Default,0,0.45,0.3,,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,0,Small,Small,Small,3,0.65,1,0,0.1625,0.325,0,10,
Attack_Stab,Sword,0,0,,Bullet,Light,Thrust,,false,,,Deflect_Default,0,0.5,0.5,,0,0,0,15,10,15,0,1,0,0.75,0,0,0,0.75,0,0,0,0.75,0,0,0.3,5,Small,Small,Small,3,1.2,1,1,0.1625,0.325,0,10,
Attack_Spin_Jump,Sword,0,0,,Bullet,Light,Slash,,false,,,Deflect_Default,0,0.45,0.3,,0,0,0,10,5,10,0,1,0,0.7,0,0,0,0.7,0,0,0,0.7,0,0,0.3,5,Small,Small,Small,3,1.8,1,1,0.1625,0.325,0,10,
Attack_Spin_Land,Sword,0,0,,Bullet,Light,Slash,,false,,,Deflect_Default,0,0.55,0.9,,1,0,0,15,10,15,0,1,0,0.7,0,0,0,0.7,0,0,0,0.7,0,0,0.3,5,Small,Small,Small,3,1.8,1,1,0.1625,0.325,0,10,
Attack_Inward_Slash,Sword,0,0,,Bullet,Light,Slash,,false,AI_Dahut_AbyssMark,,Deflect_Default,0,0.45,0.7,,0,0,0,10,5,10,0,1,0,0.75,0,0,0,0.75,0,0,0,0.75,0,0,0.3,5,Small,Small,Small,3,0.65,1,1,0.1625,0.325,0,10,
Attack_Wide_Slash,Sword,0,0,,Bullet,Light,Slash,,false,,,Deflect_Default,0,0.5,1,,2,0,0,15,10,15,0,1.5,0,0.7,0,1,0,0.7,0,0,0,0.7,0,0,0.3,5,Small,Small,Small,3,0.85,1,1,0.1625,0.325,0,10,
Attack_PurgingBlade,,0,0,,Bullet,Magic,Arcane,,true,AI_Dahut_PurgingBlade_Immunity,true,Deflect_Default,0,0.65,0.65,,1,0,0,15,10,15,0,0.5,0,0.8,0,0,0.5,0.8,0,0,0,0.8,0,0,0.3,5,Small,Small,Small,3,1.35,1,1,0.1625,0.325,0,10,
Attack_MysticDisruption,,0,0,,Bullet,Light,True,,true,"AI_Dahut_MysDis_Immunity,AI_Dahut_AbyssMark,AI_PalatineShield_LostGong_Disease",true,Deflect_Default,0,0.5,0.5,,1,1,0,20,15,20,0,0,0.5,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0.3,1,Small,Small,Small,1,1.35,1,1,0.1625,0.325,0,10,
Attack_DanceOfDeath_Regular,Sword,0,0,,Bullet,Light,Slash,,false,,,Deflect_Default,0,1,1,,1,1,0,15,10,15,0,0.4,0,0.6,0,0,0,0.8,0,0,0,0.8,0,0,0.3,0.7,Small,Small,Small,3,2,1,0.667,0.1625,0.325,0,,true
Attack_DanceOfDeath_AfterEffect,Sword,0,0,,Bullet,Heavy,Thrust,,false,,,Deflect_Default,0,1.25,1.25,,3,2,0,35,20,15,0,1.25,0,0.8,0,0,0,0.75,0,0,0,0.75,0,0,0.3,5,Small,Small,Small,3,3,1,1,0.1625,0.325,0,10,true
