DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,DeflectDamageID,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,UseAttackerPosForReaction
Attack_Swipe_R,GhostMelee,0,0,,Bullet,Light,Fire,,,,,FALSE,0.3,1,1,0,0,0,10,10,10,0,0.7,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,0,0,1,0.2,1,,,0,
Attack_Flurry,GhostMelee,0,0,,Bullet,Light,Fire,,,,,FALSE,0.2,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.1,,0,0,1,0.1,1,,,0,
Attack_Overhead,GhostMelee,0,0,,Bullet,Heavy,Fire,,,,,FALSE,0.75,1,1,0,0,0,10,10,10,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.35,,1,0,1,0.35,1,,,1,
Attack_Thrust,GhostMelee,0,0,,Bullet,Heavy,Fire,,,,,FALSE,0.8,1,1,0,0,0,10,10,10,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.35,,1,0,1,0.35,1,,,1,
Spell_Charred_Self_Destruct,GhostSpell_Fire,0,,true,,Magic,Fire,,,CharredGhost_Burn,TRUE,FALSE,1.5,1,1,4,4,4,35,30,35,0,4,1.5,0.8,0,0,0,0.8,0,4,1.5,0.8,0,3,,2.2,0,1,3,2,,,1,
Spell_Charred_Self_Destruct_Hit_Self,GhostSpell_Fire,0,,,,,Standard,,,,,FALSE,1000,1,1,4,4,4,35,30,35,0,4,1.5,0.8,0,0,0,0.8,0,4,1.5,0.8,0,3,,4,0,1,3,2,,,1,
Spell_Charred_Immolated_Ground,GhostSpell_Fire,0,,true,,Magic,Fire,,,CharredGhost_Burn,TRUE,FALSE,0.6,1,1,0,0,0,10,10,10,0,2.5,0,0.8,0,0,0,0.8,0,2.5,0,0.8,0,0.6,,1.5,0,1,0.6,2,,,1,
Spell_Charred_Immolated_Ground_Area,GhostSpell_Fire,0,,,,,Fire,,,,,FALSE,0.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.5,0,0,0,0,,,0,
Spell_Charred_Fire_Wave,GhostSpell_Fire,0,,true,,Magic,Fire,,,CharredGhost_Burn,TRUE,FALSE,0.4,1,1,1,1,1,15,10,15,0,4,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0.6,,1.2,0,1,0.3,2,,,1,true
Spell_Charred_Fire_Shot,GhostSpell_Fire,0,,true,,Light,Fire,,,CharredGhost_Burn,TRUE,FALSE,0.4,1,1,0,0,0,10,10,10,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.4,,1.2,0,1,0.2,2,,,0,
Spell_Charred_Fire_Aura,GhostSpell_Fire,0,,,,Magic,Fire,,,CharredGhost_Burn,TRUE,FALSE,0.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1,
Reaction_Breakout_Attack,GhostMelee,0,0,,Bullet,Heavy,Fire,,,,,FALSE,0.7,1,1,1,1,1,15,15,15,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,0.6,0,1,0.6,1,,,1,
Fall,Fall,1,1,,Bullet,,Falling,,,,,FALSE,1,1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,,,1,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,FALSE,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,1,1,,,,1,
Deflect_Default,GhostMelee,1,0,,,,Deflect,,,,,FALSE,0,0,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,,0,1,1,,,1,
