DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Stomp,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,1.2,1.2,1.2,3,1,0,10,5,10,0,4,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,3,1,0,0.1625,0.325
Attack_Trample,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.5,0.5,0.5,4,1,0,10,5,10,0,3,1,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,2,1,0,0.1625,0.325
Attack_Trunk_Lob,Mammoth_Lob,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.6,0.6,0.6,2,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,0.6,1,0,0.1625,0.325
Attack_Trunk_Slam,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.85,0.85,0.85,5,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,2,1,0,0.1625,0.325
Attack_Tusk_Slash_L,Unarmed,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.6,0.6,0.6,2,1,0,10,5,10,1,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,1.25,1,0,0.1625,0.325
Attack_Tusk_Slash_R,Unarmed,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.6,0.6,0.6,2,1,0,10,5,10,-1,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,1.25,1,0,0.1625,0.325
Attack_Tusk_Thrust,Unarmed,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,0.5,0.5,0.5,1,1,0,10,5,10,0,1,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,1,1,0,0.1625,0.325
Focus_Arcane_Beam,Unarmed,0,1,,Bullet,Heavy,Arcane,,,,Deflect_Default,false,0.13,0.13,0.13,1,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,0.5,1,0,0.1625,0.325
Focus_Arcane_Beam_Empowered,Unarmed,0,1,,Bullet,Heavy,Arcane,,,,Deflect_Default,false,0.18,0.2,0.2,1,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,0.5,1,0,0.1625,0.325
Focus_Blizzard,Unarmed,0,0,,Bullet,Heavy,Ice,,,,Deflect_Default,false,0.1,0.1,0.1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,0.1,1,0,0.1625,0.325
Focus_Chain_Lightning,Mammoth_Shock,0,0,,Bullet,Heavy,Lightning,,,,Deflect_Default,false,0.35,0.35,0.35,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,0.1,1,0,0.1625,0.325
Focus_Eruption,Unarmed,0,0,,Bullet,Heavy,Nature,,,,Deflect_Default,false,0.5,0.5,0.5,4,1,0,10,5,10,0,4,1,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,0.6,1,0,0.1625,0.325
Focus_Fireball,None,0,0,,Bullet,Heavy,Fire,,,,Deflect_Default,false,0,0,0,0,0,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,0.5,1,0,0.1625,0.325
Focus_Fireball_Explosion,Mammoth_LavaToss,0,0,,Bullet,Heavy,Fire,,,,Deflect_Default,false,0.65,0.65,0.65,2,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,,Small,,,0,1,1,0,0.1625,0.325
