DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg
AG_Reaver_Slash_01,Sword,0,0,,Bullet,Light,Slash,,,,,false,0.225,1,1,0,0,0,10,15,10,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,1,1,Small,Small,0,0.1,1,0,0
AG_Reaver_Dash,Sword,0,0,,Bullet,Heavy,Slash,,,,,false,0.85,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0.5,0,0.8,0,1,1,1,Large,Large,0,0.8,1,1,0
AG_Reaver_Dash_Arcane,Sword,0,0,,Bullet,Heavy,Slash,AI_ArcaneDMG_10,AI_Snare_6sec,true,,false,0.85,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0.5,0,0.8,0,1,1,1,Large,Large,0,0.8,1,1,0
AG_Spearman_Stab_01,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.3,1,1,0,0,0,13,8,13,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,1,1,1,Small,Small,0,0.1,1,0,0
AG_Spearman_Stab_02,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.3,1,1,2,2,2,20,15,20,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,1,1,1,Small,Small,0,0.15,1,1,0
AG_Spearman_ShieldBash_Sweep,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0.9,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,1,0,0.8,0,1.5,1.5,1.5,Small,Small,0,0.8,1,1,0
AG_Spearman_ShieldBash_Rush,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0.6,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,1,0,0.8,0,1.5,1.5,1.5,Small,Small,0,0.8,1,1,0
Damned_Priest_Fireball_Spell,AncientMagic,0,0,true,Bullet,Magic,Arcane,,,,,false,0.35,1,1,0,1,0,20,15,20,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0,0,0,Small,Small,0,0.33,1,1,0
Mage_Rolling_Spell,StaffSpells_No_Environment,0,1,true,Bullet,Magic,Arcane,,AI_Snare_6sec,,,false,0.3,1,1,0,0,0,30,25,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0,0,Small,Small,0,0.33,1,1,0
Damned_Priest_Ranged_AOE_Spell,StaffSpells_No_Environment,0,1,,Bullet,Magic,Arcane,,,,,false,0.2,0.8,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,Small,Small,0,0,1,1,0
Damned_Priest_BlastAway_Spell,AncientMagic,0,0,,Bullet,Magic,Arcane,,AI_Root_4sec,true,,false,1.5,1,1,2,2,2,29,24,29,0,2.5,0.75,0.8,0,2.5,0.75,0.8,0,1.5,0,0.8,0,1.2,1.2,1,Small,Small,1,0.55,1,1,0
Damned_Priest_Close_Staff_Attack,Club,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,0,1,0,10,5,10,0,1.75,0,0.8,0,1.75,0,0.8,0,0,0,0,0,1.5,1.5,1.75,Small,Small,3,0.15,1,0,0
Damned_Priest_Close_Overhead_Staff_Attack,Club,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,1,1,3,3,3,30,25,30,0,1.75,0,0.8,0,1.75,0,0.8,0,0,0,0,0,1.5,1.5,1.75,Small,Small,3,0.33,1,1,0
Mage_Frigid_Winds_Spell,StaffSpells_No_Environment,0,0,,Bullet,Magic,Arcane,,,,,false,0.15,1,1,4,4,4,30,25,30,0,8,0.75,0.8,0,8,0.75,0.8,0,1.5,0,0.8,0,1.2,1.2,1,Small,Small,1,0.55,1,1,0
Mage_Arcane_Shield,StaffSpells_No_Environment,0,0,,Bullet,Magic,Arcane,,,,,false,0,1,1,3,3,3,30,25,30,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,1.2,1.2,1,Small,Small,1,0.55,1,1,0
Mage_Iceblock_Spell,StaffSpells_No_Environment,0,0,,Bullet,Magic,Arcane,,,,,false,0,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.2,1.2,1,Small,Small,1,0.55,1,1,0
Javelineer_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.35,1,1,0,1,0,15,10,15,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.15,1,0,0
Javelineer_Flurry,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.15,1,1,1,1,1,15,15,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.2,1,1,0
Javelineer_Throw,Sword,0,0,true,Bullet,Light,Thrust,,,,,false,0.4,1,1,0,1,0,10,15,10,0,2,0,0.8,0,2,0,0.8,0,1,0,0.8,0,0,0,0,Small,Small,0,0.2,1,0,0
Javelineer_Heroic_Throw,Sword,0,0,true,Bullet,Heavy,Arcane,,,,,false,0.65,1,1,3,3,3,30,25,30,0,5,0,0.8,0,5,0,0.8,0,2,0,0.8,0,0,0,0,Small,Small,0,0.8,1,1,0
Javelineer_Lunge,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0.65,1,1,4,4,4,20,15,20,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.7,1,1,0
