DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Damned_1H_Melee_Light,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.35,1,1,0,0,0,20,15,20,0,0.5,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0,,0,Small,Small,Small,3,0.1,1,0,0.1625,0.325
Damned_1H_Melee_Primary,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,1,0,0,0,20,15,20,0,0.5,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0,,0,Small,Small,Small,3,0.35,1,0,0.1625,0.325
Damned_1H_Melee_Heavy,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,1.05,1,1,3,3,3,30,25,30,0,1.5,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1,,1,Small,Small,Small,3,0.6,1,1,0.1625,0.325
Damned_1H_Melee_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.75,1,1,2,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.2,1,1,0.1625,0.325
Damned_Shield_Bash,Shield,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.75,1,1,3,3,3,30,25,30,0,2.25,0,0.8,0,0,0,0.8,0,2.25,0,0.8,0,0.5,,1,Small,Small,Small,4,0.85,1,1,0.1625,0.325
Damned_Unarmed_Kick,Unarmed,0,0,,Bullet,Light,Strike,,,,,,,,false,0.25,1,1,0,0,0,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,3,0.1,1,1,0.1625,0.325
Damned_1H_Axe_Melee_Light,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.3,1,1,0,0,0,20,15,20,0,0.5,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0,,0,Small,Small,Small,3,0.1,1,0,0.1625,0.325
Damned_1H_Axe_Melee_Heavy_Dupe,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,1.05,1,1,3,3,3,30,25,30,0,1.5,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1,,1,Small,Small,Small,3,0.6,1,1,0.1625,0.325
Damned_1H_Axe_Melee_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.75,1,1,2,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.2,1,1,0.1625,0.325
Damned_1H_Axe_Melee_Heavy,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1,1,1,3,3,3,30,30,30,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1,,1,Small,Small,Small,3,0.45,1,1,0.1625,0.325
Damned_1H_Axe_Shield_Bash,Shield,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.75,1,1,3,3,3,30,25,30,0,2.25,0,0.8,0,0,0,0.8,0,2.25,0,0.8,0,0.5,,1,Small,Small,Small,4,0.85,1,1,0.1625,0.325
Damned_2H_GreatAxe_Melee_Light,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,1,0,1,0,20,15,20,0,1.55,0,0.8,0,0,0,0.8,0,1.55,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,0,0.1625,0.325
Damned_2H_GreatAxe_Melee_Medium,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.6,1,1,0,2,0,20,15,20,0,1.55,0,0.8,0,0,0,0.8,0,1.55,0,0.8,0,0,,0,Small,Small,Small,3,1.5,1,0,0.1625,0.325
