DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Swipe_L,Unarmed,0,0,Bullet,Light,Strike,,,,false,0.3,1,1,0,0,0,10,10,10,0,0.75,0,0.8,0,0.5,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325
Swipe_R,Unarmed,0,0,Bullet,Heavy,Strike,,,,false,0.7,1,1,2,2,2,25,20,25,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0.15,,0,0,1,0.7,1,,,0,0.1625,0.325
Swipe_Combo,Unarmed,0,0,Bullet,Heavy,Thrust,,,,false,0.5,1,1,2,2,2,25,20,25,0,1,0,0.8,0,0.7,0,0.8,0,1,0,0.8,0,0.4,,1,0,1,0.6,1,,,1,0.1625,0.325
Unleash_Memory_Archer,Unarmed,0,0,Bullet,Heavy,Thrust,,,,false,0.8,1,1,4,4,4,45,40,45,0,3,0,0.8,0,3,0,0.8,0,3,0,0.8,0,0.4,,1,0,1,1,1,,,1,0.1625,0.325
Unleash_Memory_Mage,Unarmed,0,0,Bullet,Heavy,Thrust,,,,false,1,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0,,1,0,1,0.6,1,,,1,0.1625,0.325
Unleash_Memory_Soldier,Unarmed,0,0,Bullet,Magic,Nature,,,,false,0.3,1,1,1,1,1,15,10,15,0,0.5,0,0.8,0,1,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325
Projectile,Unarmed,0,0,Bullet,Magic,Nature,,,,false,0.3,1,1,3,3,3,25,25,25,0,0.5,0,0.8,0,1,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325
AOE_Knockback,Unarmed,0,0,Bullet,Light,Strike,,,,false,0.3,1,1,5,5,5,10,10,10,0,8,0,0.8,0,0.5,0,0.8,0,8,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325
Anguished_Memory,Unarmed,1,1,,Magic,Arcane,,AI_Upyr_Consuming_Meatbag,,false,1000,1,1,81,81,81,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325
Darkest_Regret_Damage,Unarmed,1,1,,Magic,Arcane,,AI_Upyr_Archivist_Darkest_Regret_Damage,,false,1,1,1,5,5,5,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325
