DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Damned_1H_Melee_Light,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.4,1,,0,0,0,20,15,20,0,1.25,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.15,,0,Small,Small,Small,3,0.12,1,0
Damned_1H_Melee_Primary,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,,0,0,0,20,15,20,0,1.25,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.25,,0,Small,Small,Small,3,0.17,1,0
Damned_1H_Melee_Heavy,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,1,1,,3,3,3,30,25,30,0,1.5,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0.6,,1,Small,Small,Small,3,0.3,1,1
Damned_1H_Melee_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.9,1,,2,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.45,,1,Small,Small,Small,3,0.4,1,1
Damned_Shield_Bash,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.75,1,,3,3,3,30,25,30,0,2.25,0,0.8,0,0,0,0.8,0,2.25,0,0.8,0,0.65,,1,Small,Small,Small,4,0.65,1,1
Damned_1H_Melee_Combo_01,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,false,0.5,1,,2,2,2,25,20,25,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,0.5,Small,Small,Small,3,0.2,1,1
Damned_1H_Melee_Combo_02,Sword,0,0,,Bullet,,Thrust,,,,,,,Deflect_Default,false,0.6,1,,3,3,3,30,25,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,0.5,Small,Small,Small,3,0.2,1,1
Damned_1H_Melee_Combo_02_Slash,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,false,0.6,1,,3,3,3,30,25,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,0.5,Small,Small,Small,3,0.2,1,1
Damned_1H_Club_Light,Club,0,0,,Bullet,,Strike,,,,,,,Deflect_Default,false,0.3,1,,0,0,0,20,10,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.22,,0.5,Small,Small,Small,3,0.22,1,0
Damned_1H_Club_Primary,Club,0,0,,Bullet,,Strike,,,,,,,Deflect_Default,false,0.4,1,,0,0,0,20,15,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.26,,0.75,Small,Small,Small,3,0.26,1,1
