DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Unblockable,IsRanged,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Swipe,Bite_AI,0,0,Bullet,Light,Strike,,,,,,AI_IceDMG_50,,,,false,0.4,1,1,0,0,0,10,10,10,0,0.3,0,0.8,0,0.15,0,0.8,0,0.3,0,0.8,0,0,0.4,1,0.3,,1,Small,Small,Small,0,0.1625,0.325
Attack_ClawStomp,Bite_AI,0,0,Bullet,Heavy,Strike,,,,,,AI_IceDMG_50,,,,false,1,1,1,0,3,3,30,25,30,0,1.5,0,0.8,0,0.75,0,0.8,0,1.5,0,0.8,0,0,0.4,1,0.5,,1,Small,Small,Small,0.5,0.1625,0.325
Attack_DragonScream,Bite_AI,0,0,Bullet,Heavy,Ice,,,,,,,AI_Snare_4sec,true,,false,0.7,1,1,0,3,3,30,25,30,0,1.5,0,0.8,0,0.75,0,0.8,0,1.5,0,0.8,0,0,0.5,1,0.3,,1,Small,Small,Small,0.5,0.1625,0.325
Attack_Dragon_TailSlap,Bite_AI,0,0,Bullet,Light,Strike,,,,,,,,,,false,0.3,0.3,0.3,0,0,0,10,10,10,0,0.1,0,0.8,0,0.1,0,0.8,0,0.1,0,0.8,0,0,0.2,1,0.3,,1,Small,Small,Small,0.5,0.1625,0.325
Attack_Dragon_TailSlam,Bite_AI,0,0,Bullet,Heavy,Strike,,,,,,AI_IceDMG_50,,,,false,0.6,0.6,0.6,0,2,0,20,15,20,0,0.75,0,0.8,0,0.3,0,0.8,0,0.75,0,0.8,0,0,0.4,1,0.3,,1,Small,Small,Small,0.5,0.1625,0.325
Attack_Dragon_TailWhip,Bite_AI,0,0,Bullet,Heavy,Strike,,,,,,AI_IceDMG_50,,,,false,0.75,1,1,0,2,0,20,15,20,0,0.75,0,0.8,0,0.3,0,0.8,0,0.75,0,0.8,0,0,0.4,1,0.3,,1,Small,Small,Small,0.5,0.1625,0.325
Attack_Charge_Bite,Bite_AI,0,0,Bullet,Heavy,Strike,,,,,,,,,,false,0.4,1,1,0,1,1,15,10,15,0,2,0,0.8,0,1,0,0.8,0,2,0,0.8,0,0,0.3,1,0.3,,1,Small,Small,Small,0,0.1625,0.325
Attack_GlacialSpike,Bite_AI,0,0,Bullet,Heavy,Thrust,,,,,,AI_IceDMG_50,,,,false,0.3,1,1,0,0,0,10,10,10,0,1.5,0.5,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,1,0.3,,1,Small,Small,Small,1,1,0.1625
Attack_Horn_R,Bite_AI,0,0,Bullet,Heavy,Slash,,,,,,AI_IceDMG_50,AI_Bleed_9,true,,false,0.4,1,1,0,0,0,10,10,10,-1,-0.3,0,0.8,-0.5,-0.15,0,0.8,0,0.3,0,0.8,0,0,0.4,1,0.3,,1,Small,Small,Small,0,0.1625,0.325
Attack_Horn_L,Bite_AI,0,0,Bullet,Heavy,Slash,,,,,,AI_IceDMG_50,AI_Bleed_9,true,,false,0.4,1,1,0,0,0,10,10,10,1,0.3,0,0.8,0.5,0.2,0,0.8,0,0.3,0,0.8,0,0,0.4,1,0.3,,1,Small,Small,Small,0,0.1625,0.325
