DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CritTargetCameraShakeID,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,1,,,1,0.1625,0.325
SEH_Attack_ClearingSweep,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.5,1,,4,3,4,25,30,25,0,2.4,0,0.7,0,0,0,0.7,0,2.4,0,0.7,0,0,,5,Small,Small,3,0.9,1,1,0.1625,0.325
Elite_GRIT,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,,0,0,,1,1,1,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,0,1,1,1,0.1625,0.325
Attack_Spawn_Landing,Sword,0,0,,Bullet,,Standard,,,,,,,Deflect_Default,false,0,1,,3,3,3,30,30,30,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,0,,5,Small,Small,4,1,1,1,0.1625,0.325
SEH_Attack_Overhead_Slam,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.8,1,,5,5,5,40,37,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,5,Large,Large,3,1.75,1,1,0.1625,0.325
SEH_Attack_TornadoSlash01,Sword,0,0,,Bullet,Heavy,Slash,,,,,AI_SandElementalHeavy_Exhaust_T2,true,Deflect_Default,false,0.35,1,,0,0,2,24,21,30,0,0.25,0,0.5,0,0,0,0.5,0,2.3,0,0.7,0,0,,5,Small,Small,2,0.85,1,1,0.1625,0.325
SEH_Attack_TornadoSlash02,Sword,0,0,,Bullet,Heavy,Slash,,,,,AI_SandElementalHeavy_Exhaust_T2,true,Deflect_Default,false,0.55,1,,0,0,2,27,24,30,0,0.5,0,0.5,0,0,0,0.5,0,2.35,0,0.7,0,0,,5,Small,Small,2,0.95,1,1,0.1625,0.325
SEH_Attack_TornadoDrill,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.45,1,,2,2,2,18,15,30,0,1.5,0,0.25,0,0,0,0.25,0,2.3,0,0.7,0,0,,5,Small,Small,2,0.5,1,1,0.1625,0.325
SEH_Attack_SandDash,Sword,0,0,,Bullet,Light,Strike,,,,,,,Deflect_Default,false,0.2,1,,3,3,2,25,22,22,0,1,0,0.25,0,0,0,0.25,0,2.2,0,0.75,0,0,,5,Small,Small,1,0.35,1,1,0.1625,0.325
SEH_Attack_Signature_AoE,Sword,0,0,,Bullet,Magic,Nature,,,,,AI_SandElementalHeavy_AoESlow_T3,true,Deflect_Default,false,0.25,1,,3,2,5,30,30,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,5,Large,Large,2,1.25,1,1,0.1625,0.325
SEH_Attack_Signature_Slam,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.8,1,,5,5,5,60,50,25,0,2.4,0,0.8,0,0,0,0.8,0,6,0,0.5,0,0,,5,Large,Large,4,1.5,1,1,0.1625,0.325
SEH_Attack_BodyFall_Slam,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.2,1,,1,1,1,15,10,20,0,0.25,0,0,0,0,0,0,0,0.5,0,0.8,0,0,,5,Large,Large,1,0.35,1,1,0.1625,0.325
SEH_Attack_StepForward,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.15,1,,2,1,1,10,7,20,0,0.5,0,0,0,0,0,0,0,0.5,0,0.8,0,0,,5,Large,Large,1,0.25,1,1,0.1625,0.325
SEH_Attack_SwipeL,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.8,1,,5,5,5,40,37,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,5,Large,Large,3,1.75,1,1,0.1625,0.325
Attack_Structure,Sword,0,0,,Bullet,Heavy,Siege,,,,,,,Deflect_Default,false,0.8,1,,5,5,5,40,37,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,5,Large,Large,3,1.75,1,1,0.1625,0.325
