DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Broken_2H_TurnAround_Overhead_Strike,Club,0,0,Bullet,Heavy,Strike,,,,,false,1.1,1,1,3,3,3,35,30,35,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,3,1.1,1,1,0.1625,0.325
Skeleton_2H_Flurry,Club,0,0,Bullet,Light,Strike,,,,,false,0.4,1,1,0,1,0,10,15,10,0,0.2,0,0.8,0,0.2,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.1,1,0,0.1625,0.325
Broken_1H_Overhead_Strike,Club,0,0,Bullet,Light,Strike,,,,,false,0.35,1,1,0,1,0,10,15,10,0,0.8,0,0.8,0,0.8,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,3,0.1,1,0,0.1625,0.325
Broken_2H_Overhead_Strike,Club,0,0,Bullet,Light,Strike,,,,,false,1,1,1,3,3,3,25,20,25,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,3,0.1,1,1,0.1625,0.325
Broken_1H_Uppercut_Strike,Club,0,0,Bullet,Light,Strike,,,,,false,0.35,1,1,0,1,0,10,15,10,0,0.8,0,0.8,0,0.8,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,3,0.1,1,0,0.1625,0.325
Broken_1H_Breakout_Strike,Club,0,0,Bullet,Heavy,Strike,,,,,false,0.35,1,1,3,3,3,30,25,30,0,2.5,0,0.8,0,2.5,0,0.8,0,0,0,0.8,0,1,10,Small,Small,Large_short,3,1,1,1,0.1625,0.325
Broken_1H_Ground_Pound,Club,0,0,Bullet,Heavy,Strike,,,,,false,0.8,1,1,0,0,0,10,15,10,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.8,1,1,0.1625,0.325
Broken_1H_Ground_Pound_Uppercut,Club,0,0,Bullet,Heavy,Strike,,,,,false,1,1,1,0,1,0,10,5,10,0,0.8,0,0.8,0,0.8,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.5,1,0,0.1625,0.325
Spell_ForgeBreaker,Magic,0,0,Bullet,Magic,Fire,,,,,false,0.35,1,1,1,1,0,30,25,30,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,1,1,Small,Small,Large_short,2,0.8,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,,,1,,,1,0.1625,0.325
