DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,DeflectDamageID,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,HitRuneCharge,HitBlockedRuneCharge
Damned_1H_Melee_Light,Sword,0,0,,Bullet,Light,Slash,,,Deflect_Default,,false,0.4,1,1,0,0,0,20,15,20,0,0.7,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,,0.5,Small,Small,3,0.1,1,0.1625,0.325
Damned_1H_Melee_Primary,Sword,0,0,,Bullet,Light,Slash,,,Deflect_Default,,false,0.5,1,1,0,0,0,20,15,20,0,0.7,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.7,,0.75,Small,Small,3,0.1,1,0.1625,0.325
Damned_1H_Melee_Heavy,Sword,0,0,,Bullet,Heavy,Thrust,,,Deflect_Default,,false,1.05,1,1,0,0,0,30,25,30,0,0.7,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.2,,1.5,Small,Small,3,0.6,1,0.1625,0.325
Damned_1H_Melee_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,Deflect_Default,,false,0.9,1,1,2,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.2,,1.5,Small,Small,3,0.45,1,0.1625,0.325
Damned_1H_Melee_Combo_01,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,Deflect_Default,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1,0.1625,0.325
Damned_1H_Melee_Combo_01_Shield,Sword,0,0,,Bullet,Heavy,Strike,,AI_Disease,Deflect_Default,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1.2,,0.5,Small,Small,3,1.2,1,0.1625,0.325
Damned_1H_Melee_Combo_02,Sword,0,0,,Bullet,Heavy,Thrust,,AI_Disease,Deflect_Default,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1,0.1625,0.325
Damned_1H_Melee_Combo_02_Slash,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,Deflect_Default,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1,0.1625,0.325
Damned_1H_Club_Light,Club,0,0,,Bullet,Light,Strike,,,Deflect_Default,,false,0.55,1,1,0,1,0,20,10,20,0,0.7,0,0.8,0,0,0,0.8,0,0.7,0,0.8,0,0.3,,0.5,Small,Small,3,1.1,1,0.1625,0.325
Damned_1H_Club_Primary,Club,0,0,,Bullet,Heavy,Strike,,,Deflect_Default,,false,0.75,1,1,1,1,1,15,15,15,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.7,,0.75,Small,Small,3,1.3,1,0.1625,0.325
Damned_1H_Club_Heavy,Club,0,0,,Bullet,Heavy,Strike,,,Deflect_Default,,false,0.9,1,1,0,0,0,20,20,20,0,0.7,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.2,,1.5,Small,Small,3,1.5,1,0.1625,0.325
Damned_1H_Club_Combo_01,Club,0,0,,Bullet,Heavy,Strike,,AI_Disease,Deflect_Default,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1,0.1625,0.325
Damned_1H_Club_Combo_02,Club,0,0,,Bullet,Heavy,Strike,,AI_Disease,Deflect_Default,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1,0.1625,0.325
Damned_2H_GreatAxe_Melee_Light,Axe,0,0,,Bullet,Light,Slash,,,Deflect_Default,,false,0.55,1,1,0,1,0,15,10,15,0,0.7,0,0.8,0,0,0,0.8,0,0.7,0,0.8,0,0.3,,0.5,Small,Small,3,0.3,1,0.1625,0.325
Damned_2H_GreatAxe_Melee_Medium,Axe,0,0,,Bullet,Heavy,Slash,,,Deflect_Default,,false,0.85,1,1,2,2,2,20,10,20,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0.7,,0.7,Small,Small,3,1,1,0.1625,0.325
Damned_2H_GreatAxe_Melee_Heavy,Axe,0,0,,Bullet,Heavy,Slash,,,Deflect_Default,,false,1,1,1,2,2,2,25,25,25,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,1.2,,1.5,Small,Small,3,1.3,1,0.1625,0.325
Damned_2H_GreatAxe_Combo_01,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,Deflect_Default,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1,0.1625,0.325
Damned_2H_GreatAxee_Combo_02,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,Deflect_Default,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1,0.1625,0.325
Damned_Shield_Bash,Sword,0,0,,Bullet,Heavy,Strike,,,Deflect_Default,,false,0.75,1,1,2,2,2,20,20,20,0,1.5,0,0.8,0,0,0,0.8,0,3,0,0.8,0,1.2,,1.5,Small,Small,4,0.85,1,0.1625,0.325
Damned_2H_Melee_Primary,Axe,0,0,,Bullet,,Slash,,,Deflect_Default,,false,1.35,1,1,0,1,0,20,10,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,0,0.33,1,0.1625,0.325
Damned_Unarmed_Kick,Unarmed,0,0,,Bullet,Heavy,Strike,,,Deflect_Default,,false,0.88,1,1,2,2,2,30,15,30,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,Small,Small,3,0.33,1,0.1625,0.325
Damned_1H_Melee_Alternate,Sword,0,0,,Bullet,,Slash,,,Deflect_Default,,false,1.1,1,1,0,1,0,20,10,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,0,0.33,1,0.1625,0.325
Damned_2H_Melee_Alternate,Sword,0,0,,Bullet,,Slash,,,Deflect_Default,,false,1.05,1,1,0,1,0,20,10,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,0,0.33,1,0.1625,0.325
Damned_2H_Melee_Heavy,Sword,0,0,,Bullet,,Slash,,,Deflect_Default,,false,1.25,1,1,3,3,3,30,30,30,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,2,Small,Small,1,0.99,1,0.1625,0.325
1H_Sword_Attack1,Sword,0,0,,Bullet,Light,Thrust,,,Deflect_Default,,false,0.15,1,1,0,1,0,30,10,30,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,0,,0,Small,Small,3,0.33,1,0.1625,0.325
1H_Sword_Attack1_Slash,Sword,0,0,,Bullet,Light,Slash,,,Deflect_Default,,false,0.15,1,1,0,1,0,30,10,30,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,0,,0,Small,Small,3,0.33,1,0.1625,0.325
