DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,Unblockable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Projectile_Shot,Unarmed,1,0,0,0,Bullet,Light,Strike,,,,,false,0.2,1,1,0,1,1,5,10,15,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.2,1,1,,,0.1625,0.325
SnakeScream,Unarmed,1,0,0,0,Bullet,Heavy,Nature,,,,,false,0.2,1,1,0,1,1,15,15,15,1,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.7,1,1,,,0.1625,0.325
SnakeScream_Projectile,Unarmed,1,0,0,0,Bullet,Light,Nature,,,,,false,0.35,1,1,2,3,2,15,15,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.2,1,1,,,0.1625,0.325
Slash_L,Unarmed,1,,,,Bullet,Light,Nature,,,,,false,0.25,1,1,0,0,0,10,15,20,0.25,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.4,1,1,,,0.1625,0.325
Slash_R,Unarmed,1,,,,Bullet,Light,Nature,,,,,false,0.25,1,1,0,0,0,10,15,20,-0.25,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.4,1,1,,,0.1625,0.325
SnakeTremor,Unarmed,1,,,,Bullet,Light,Nature,,AI_Snare_2sec,,,false,0.3,1,1,1,1,1,10,15,20,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.3,1,1,,,0.1625,0.325
SnakeTrail,Unarmed,1,,,,Bullet,Light,Nature,,,,,false,0.25,1,1,1,1,1,15,20,25,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,1,Small,Small,Small,3,0.8,1,1,,,0.1625,0.325
SnakeProjectile,Unarmed,1,0,0,0,Bullet,Light,Strike,,,,,false,0.5,1,1,0,1,1,10,15,20,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.4,1,1,,,0.1625,0.325
Burrow,Unarmed,1,,,,Bullet,Light,Nature,,AI_Snare_2sec,,,false,0.4,1,1,1,1,1,10,15,20,0,-1.6,0,0.9,0,-1.6,0,0.9,0,-1.6,0,0.9,0,1,,1,Small,Small,Small,3,0.3,1,1,,,0.1625,0.325
BurrowEnterExit,Unarmed,1,,,,Bullet,Heavy,Nature,,AI_Snare_2sec,,,false,0.4,1,1,2,2,2,20,25,25,1,3,0,0.8,0,3,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,3,0.5,1,1,,,0.1625,0.325
