DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,BlockTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge,UseAttackerPosForReaction
Thrust,Spear,0,0,,Bullet,Light,Strike,,false,,false,Deflect_Default,false,0.55,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.4,0.3,1,Small,Small,Small,1,1.5,1,0,0,0,0.1625,0.325,
Upperslash,Spear,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,false,0.5,1,1,1,0,0,10,5,10,0,2,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.15,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Ground_Strike_Close,Spear,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,false,0.45,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,0.3,1,Small,Small,Small,1,1,1,0,0,0,0.1625,0.325,
Ground_Strike,Spear,0,0,,Bullet,Heavy,Strike,,false,,false,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.4,1,0,0,0,0.1625,0.325,
Shoulder_Bash,Spear,0,1,,Bullet,Heavy,Strike,,true,,false,Deflect_Default,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,
Shoulder_Bash_End,Spear,0,0,,Bullet,Heavy,Strike,,false,AI_PalatineGuard_ComboTargeting,false,Deflect_Default,false,0.8,1,1,2,0,0,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.4,0.3,1,Small,Small,Small,1,2,1,0,0,0,0.1625,0.325,
Smite,Spear,0,0,,Bullet,Heavy,Arcane,,true,AI_PalatineHalberd_Smite_Slow,false,Deflect_Default,false,0.75,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.2,1,0,0,0,0.1625,0.325,
Decimate_Jail,Spear,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,false,0.75,1,1,1,0,0,10,5,10,0,2,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.4,0.3,1,Small,Small,Small,1,0.75,1,0,0,0,0.1625,0.325,
Decimate_Jail_Scaled,Spear,0,0,,Bullet,Heavy,Slash,,false,AI_PalatineHalberd_DecimateJail_Exhaust,false,Deflect_Default,false,1,1,1,1,0,0,10,5,10,0,2,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.4,0.3,1,Small,Small,Small,1,1,1,0,0,0,0.1625,0.325,
Decimate_Jail_Prison,Spear,1,0,,Bullet,Light,Arcane,,true,,false,Deflect_Default,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,Small,Small,Small,1,0.2,1,0,0,0,0.1625,0.325,
