DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Unblockable,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Swipe,Unarmed,0,0,,Bullet,Light,Slash,false,,,,false,0.3,1,1,0,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0.15,1,0.15,1,,,0,0.1625,0.325
Heavy_Swipe,Unarmed,0,0,,Bullet,Heavy,Slash,false,,AI_Hercyne_Bleed,true,false,0.45,1,1,3,3,3,30,25,30,0,1.4,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0.2,1,0.8,1,,,0,0.1625,0.325
Bite,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,AI_Hercyne_Bleed,true,false,0.5,1,1,2,2,2,20,25,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.4,,1,0.2,1,0.8,1,,,1,0.1625,0.325
Circle_Slash_Initial,Unarmed,0,0,,Bullet,Heavy,Slash,false,,AI_Hercyne_Bleed,true,false,0.45,1,1,0,0,0,10,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,1,0.25,1,0.5,1,,,1,0.1625,0.325
Circle_Slash_Final,Unarmed,0,0,,Bullet,Heavy,Slash,false,,AI_Hercyne_Bleed,true,false,0.45,1,1,2,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,1,0.25,1,0.5,1,,,1,0.1625,0.325
Feast_Run,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,,,false,0.15,1,1,2,2,2,15,15,15,0,3,0,0.8,0,1.5,0,0.8,0,3,0,0.8,0,0,,1,0.1,1,0.6,1,,,1,0.1625,0.325
Feast_Initial,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,,,false,0.25,1,1,5,5,5,30,25,30,0,0.5,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,1,0.15,1,0.8,1,,,0,0.1625,0.325
Feast_Initial_Alpha,Unarmed,0,0,,Bullet,Heavy,Thrust,true,,,,false,0.25,1,1,5,5,5,30,25,30,0,0.5,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,1,0.15,1,0.8,1,,,0,0.1625,0.325
Feast_Final,Unarmed,0,0,,Bullet,Heavy,Thrust,true,,,true,false,0.2,1,1,5,5,5,30,25,30,0,0.5,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,1,0.2,1,0.8,1,,,0,0.1625,0.325
Frenzy_Swipes_Light,Unarmed,0,0,,Bullet,Light,Slash,false,,AI_Hercyne_Bleed,true,false,0.35,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0.25,1,0.2,1,,,1,0.1625,0.325
Frenzy_Swipes_Heavy,Unarmed,0,0,,Bullet,Heavy,Slash,false,,AI_Rend,true,false,0.55,1,1,3,3,3,30,25,30,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0.4,1,0.4,1,,,1,0.1625,0.325
Bloody_Howl,Unarmed,0,0,,Bullet,Magic,Nature,true,,AI_Hercyne_Bleed,true,false,0.1,1,1,1,1,1,15,10,15,0,0.5,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,1,0,1,0.1,1,,,1,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,,Bullet,Magic,Arcane,,,,,false,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325
