DamageID,WeaponCategory,IgnoreInvulnerable,IsRanged,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack,Unarmed,0,,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.35,0.25,0.25,0,0,0,0,0,0,0,0.7,0,0.8,0,0.7,0,0.8,0,0,0,0.8,0,1,0.1,1,Small ,0,0.1625,0.325
Attack_Rampage,Unarmed,0,,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.2,0.25,0.25,0,0,0,0,0,0,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,1,0.1,1,Small ,0,0.1625,0.325
Attack_Leap,Blunt_AI,0,,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,0.35,0.35,2,2,2,20,15,20,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,3,0.7,1,Small ,1,0.1625,0.325
Vomit_Ball,Regurgitator_Vomitball,0,1,0,Bullet,Light,Strike,,,,Deflect_Default,false,0.5,0.25,0.25,1,1,1,15,10,15,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,3,0.2,1,Small ,0,0.1625,0.325
Vomit_Spray,Regurgitator_Vomitspray,0,,0,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,0.25,0.25,1,1,1,15,10,15,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0,0.1,1,Small ,0,0.1625,0.325
Deflect_Default,Blunt_AI,1,,0,,,Standard,,,,,false,0.25,0.25,0.25,2,2,2,0,0,0,0,1,0,0.8,0,1,0,0.8,0,0,0,0,0,0,1,1,,0,0.1625,0.325
Fall,Fall,1,,1,Bullet,,Falling,,,,,false,0.25,0.25,0.25,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0.1625,0.325
Vomit_Puddle,BlightFiend_Vomit,0,1,0,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Small ,0,0.1625,0.325
Death_Blast_1,Blunt_AI,0,,0,Bullet,Magic,Nature,,,,Deflect_Default,false,1.1,0.4,1.1,4,4,4,25,20,25,0,5,0,0.8,0,5,0,0.8,0,0,0,0.8,0,3,1.25,1,Small ,1,0.1625,0.325
Death_Blast_2,Blunt_AI,0,,0,Bullet,Magic,Nature,,,,Deflect_Default,false,1.1,0.4,1.1,4,4,4,25,20,25,0,4,0,0.8,0,4,0,0.8,0,0,0,0.8,0,3,1.25,1,Small ,1,0.1625,0.325
Death_Blast_3,Blunt_AI,0,,0,Bullet,Magic,Nature,,,,Deflect_Default,false,1.1,0.4,1.1,3,3,3,30,25,30,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,3,1.25,1,Small ,1,0.1625,0.325
Death_Blast_4,Blunt_AI,0,,0,Bullet,Magic,Nature,,,,Deflect_Default,false,1.1,0.4,1.1,3,3,3,30,25,30,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,3,1.25,1,Small ,1,0.1625,0.325
Death_Blast_5,Blunt_AI,0,,0,Bullet,Magic,Nature,,,,Deflect_Default,false,1.1,0.4,1.1,2,2,2,25,20,25,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,3,1.25,1,Small ,1,0.1625,0.325
Death_Blast_6,Blunt_AI,0,,0,Bullet,Magic,Nature,,,,Deflect_Default,false,1.1,0.4,1.1,1,1,1,15,10,15,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,3,1.25,1,Small ,1,0.1625,0.325
Attack_Structure,Unarmed,,0,0,,,Siege,,,,Deflect_Default,false,0.2,1,1,3,3,3,30,30,25,-1,2,0,0.8,-1,2,0,0.8,0,0,0,0.8,0,1,1,1,Small,1,0.1625,0.325
Swamp_Fiend_Death_Blast,Blunt_AI,0,,0,Bullet,Magic,Nature,,,,Deflect_Default,false,0.3,0.4,0.3,2,2,2,25,20,25,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,3,4,1,Small ,1,0.1625,0.325
Swamp_Fiend_Self_Destruct,,0,1,,,,Siege,,,,,false,0.25,1,0.25,4,4,4,35,30,35,0,4,1.5,0.8,0,4,1.5,0.8,0,0,0,0.8,0,4,1,3,Small,1,0.1625,0.325
Spell_Self_Destruct_Hit_Self,,0,,,,,Standard,,,,,false,100,1,100,4,4,4,35,30,35,0,4,1.5,0.8,0,4,1.5,0.8,0,0,0,0.8,0,4,1,3,Smal,1,0.1625,0.325
