DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,Unblockable,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Attack_Stab,Spear,0,0,,Bullet,Light,Thrust,,,,,,false,0.6,1,1,0,0,0,16,16,13,0,1.1,0,0.8,0,0,0,0.8,0,1.1,0,0.8,0,1,1,1,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Attack_HeavyStab,Spear,0,0,,Bullet,Heavy,Thrust,,,,,,false,0.85,1,1,3,3,2,32,32,36,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1,1,1,Small,Small,0,0.8,1,1,0,,0.1625,0.325
Attack_Slash,Spear,0,0,,Bullet,Light,Slash,,,,,,false,0.7,1,1,2,2,2,24,24,32,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1,1,1,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Attack_Sweep,Spear,0,0,,Bullet,Heavy,Slash,,,,,,false,0.3,1,1,0,0,1,12,24,17,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,1,1,1,Small,Small,0,0.4,1,1,0,,0.1625,0.325
Attack_SweepAdditive,Spear,0,0,,Bullet,Light,Slash,,,,,,false,0.5,1,1,0,0,1,14,24,17,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,1,1,1,,,0,0.6,1,0,0,,0.1625,0.325
Attack_SweepFinisher,Spear,0,0,,Bullet,Light,Slash,,,,,,false,0.6,1,1,5,5,2,24,24,17,0,1.4,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,1,1,1,Small,Small,0,0.75,1,1,0,,0.1625,0.325
Attack_DodgeStab,Spear,0,0,,Bullet,Light,Thrust,,,,,,false,0.4,1,1,1,1,1,14,14,11,0,0.9,0,0.8,0,0,0,0.8,0,0.9,0,0.8,0,1,1,1,Small,Small,0,0.6,1,1,0,,0.1625,0.325
Attack_KneeLeap,Spear,0,0,,Bullet,Light,Strike,,,,,,false,0.5,1,1,4,4,3,20,20,18,0,5.5,1,0.8,0,0,0,0.8,0,6,1,0.8,0,1,1,1,Small,Small,0,0.9,1,1,0,,0.1625,0.325
Attack_Kick,Spear,0,0,,Bullet,Heavy,Strike,,,,,,false,0.5,1,1,4,4,3,20,20,18,0,5.5,1,0.8,0,0,0,0.8,0,6,1,0.8,0,1,1,1,Small,Small,0,0.9,1,1,0,,0.1625,0.325
Attack_LightningSpear,Spear,0,0,true,Bullet,Heavy,Thrust,,,,,,false,0.6,1,1,4,4,3,20,20,30,0,7,0,0.8,0,0,0,0.8,0,7,0,0.8,0,0,0,0,Small,Small,0,1.2,1,1,0,,0.1625,0.325
