DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StunBreakoutIncrement,CameraShakeID,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,Falling,,Falling,,,,false,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,,Large,Large,Large,0.1625,0.325
Reaction_Breakout,Bite_AI,1,1,Bullet,Light,Strike,,,Default,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,10,0,,Small,Small,Small,0.1625,0.325
Reaction_Breakout_Attack,Bite_AI,1,1,Bullet,Light,Strike,,,Default,false,0.1,0.1,0,2,1,0,25,15,15,0,2,0,0.8,0,1,0,0.8,0,2,0,0.8,0,3,1,1,0.3,,10,0.5,,Large,Large,Small,0.1625,0.325
Attack_BigBite,Bite_AI,0,0,Bullet,Light,Strike,,,Default,false,0.25,1,0,0,0,0,10,6,25,0,0.3,0,0.8,0,0.15,0,0.8,0,1,0,0.8,0,1,0.05,1,0.15,,1,0.25,,Small,Small,Small,0.1625,0.325
Attack_FeedingFrenzy_Bite01,Bite_AI,0,0,Bullet,Light,Thrust,,,Default,false,0.3,1,0,0,0,0,10,6,25,0,0.25,0,0.8,0,0.1,0,0.8,0,1,0,0.8,0,0.6,0.07,1,0.1,,1,0.5,,Small,Small,Small,0.1625,0.325
Attack_FeedingFrenzy_Bite02,Bite_AI,0,0,Bullet,Light,Strike,,,Default,false,0.33,1,0,0,0,0,10,8,25,0,0.2,0,0.8,0,0.05,0,0.8,0,1,0,0.8,0,0.4,0.1,1,0.15,,1.5,0.5,,Small,Small,Small,0.1625,0.325
Attack_FeedingFrenzy_Bite03,Bite_AI,0,0,Bullet,Heavy,Slash,,,Default,false,0.35,1,0,1,1,0,15,10,25,0,0.25,0,0.8,0,0.1,0,0.8,0,1,0,0.8,0,1,0.15,1,0.2,,2,1,,Small,Small,Small,0.1625,0.325
Attack_DiseasedFFrenzy_Bite01,Bite_AI,0,0,Bullet,Light,Thrust,AI_PlagueRat_Disease,true,Default,false,0.3,1,0,0,0,0,10,6,25,0,0.25,0,0.8,0,0.1,0,0.8,0,1,0,0.8,0,0.6,0.05,1,0.05,,1,0.5,,Small,Small,Small,0.1625,0.325
Attack_DiseasedFFrenzy_Bite02,Bite_AI,0,0,Bullet,Light,Strike,AI_PlagueRat_Disease,true,Default,false,0.33,1,0,0,0,0,10,8,25,0,0.2,0,0.8,0,0.05,0,0.8,0,1,0,0.8,0,0.4,0.07,1,0.1,,1.5,0.5,,Small,Small,Small,0.1625,0.325
Attack_DiseasedFFrenzy_Bite03,Bite_AI,0,0,Bullet,Heavy,Slash,AI_PlagueRat_Disease,true,Default,false,0.35,1,0,1,1,0,15,10,25,0,0.25,0,0.8,0,0.1,0,0.8,0,1,0,0.8,0,1,0.12,1,0.15,,2,1,,Small,Small,Small,0.1625,0.325
Attack_PlagueBurst,Bite_AI,0,0,Bullet,Magic,Nature,,,Default,false,0.45,1,0,1,0,0,30,20,30,0,1,0,0.8,0,0.75,0,0.8,0,2,0,0.8,0,1,0.25,1,0.3,,10,1,,Large,Small,Large,0.1625,0.325
Attack_TailWhipRight,Unarmed,0,0,Bullet,Light,Strike,,,Default,false,0.25,1,0,0,1,0,10,6,25,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,0.15,1,0.2,,1,0.25,,Small,Small,Small,0.1625,0.325
Attack_SlashLeft,Unarmed,0,0,Bullet,Light,Slash,,,Default,false,0.35,1,0,0,0,0,15,8,25,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,0.1,1,0.25,,1,0.25,,Small,Small,Small,0.1625,0.325
