DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Undead_Navigator_Blade_Single,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.25,1,1,0,0,0,15,10,15,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.1,,0,Small,Small,3,0.1,1,0
Undead_Navigator_Blade_LR,Sword,0,0,,Bullet,Light,Slash,,AI_Disease,true,Deflect_Default,false,0.5,1,1,1,1,1,15,15,15,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.35,,1,Small,Small,3,0.2,1,0.5
Undead_Navigator_Blade_LR_Combo,Sword,0,0,,Bullet,Light,Slash,,AI_Disease,true,Deflect_Default,false,0.6,1,1,3,3,3,30,30,30,0,2.5,0,0.8,0,2.5,0,0.8,0,2.5,0,0.8,0,0.5,,1,Small,Small,3,0.3,1,0.5
Undead_Navigator_Blade_Combo_Straight,Sword,0,0,,Bullet,Light,Thrust,,AI_Disease,true,Deflect_Default,false,0.2,1,1,1,1,1,10,15,10,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0.1,,1,Small,Small,3,0.15,1,0.5
Undead_Navigator_Pistol_Rapid_Fire,Musket,0,0,true,Bullet,Light,Thrust,,,,Deflect_Default,false,0.25,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0.1,,0,Small,Small,3,0.1,1,0
Undead_Navigator_Pistol_Hip_Shot,Musket,0,0,true,Bullet,Light,Thrust,,,,Deflect_Default,false,0.3,1,1,0,0,0,15,10,15,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0.33,,0,Small,Small,3,0.2,1,0
Undead_Navigator_Spell_GRIT,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.3,1,1,4,4,4,20,15,20,0,3,0,0.8,0,3,0,0.8,0,3,0,0.8,0,0.5,,3.5,Small,Small,4,0.7,1,1
Undead_Navigator_Breakout_Dash,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.2,1,1,2,2,2,20,15,20,0,3,0,0.8,0,3,0,0.8,0,3,0,0.8,0,0.8,,1,Small,Small,4,0.7,1,1
Undead_Navigator_Breakout_Slash,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.3,1,1,4,4,4,40,30,40,0,3,0,0.8,0,3,0,0.8,0,3,0,0.8,0,0.8,,1,Small,Small,4,1,1,1
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.8,,,,,0,0,,10,Small,,3,,,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.8,,,,,0,0,,10,Small,,3,,,1
