DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,DeflectDamageID,Affixes,StatusEffect,EffectOnlyOnDamage,Unblockable,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,DamageGuildAndGroup
Shot,GhostSpell_Fire,0,0,true,,Magic,Fire,,,CharredGhost_Burn,TRUE,,FALSE,0.3,1,1,1,1,1,10,10,10,0,2,0,0.8,0,1,0,0.8,0,2,0,0.8,0,0.4,,1.2,0,1,0.4,2,,,1,
Geyser,GhostSpell_Fire,0,0,true,,Heavy,Strike,,,,,,FALSE,1,1,1,4,4,4,40,30,40,0,2,1,0.8,0,1,0.5,0.8,0,2,1,0.8,0,0.4,,1.2,0,1,0.4,2,,,1,
Explosion,GhostSpell_Fire,0,,true,,Magic,Fire,,,,,,FALSE,0.7,1,1,4,4,4,35,30,35,0,4,1.5,0.8,0,3,0,0.8,0,4,1.5,0.8,0,3,,2.2,0,1,3,2,,,1,
Corruption_Explosion,GhostSpell_Fire,0,,true,,Magic,Corruption,,,,,,FALSE,1,1,1,4,4,4,35,30,35,0,4,1.5,0.8,0,3,0,0.8,0,4,1.5,0.8,0,3,,2.2,0,1,3,2,,,1,
Mut_Fir_Death,GhostSpell_Fire,0,,true,,Magic,Fire,,,,,,FALSE,0.7,1,1,4,4,4,35,30,35,0,4,1.5,0.8,0,3,0,0.8,0,4,1.5,0.8,0,3,,2.2,0,1,3,2,,,1,
Mut_Ice_Death,GhostSpell_Ice,0,,true,,Magic,Ice,,,Mut_Ice_Slow_1_Effect,TRUE,,FALSE,0.5,1,1,2,2,2,20,20,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,3,,2.2,0,1,1,2,,,1,
Mut_Voi_Death,GhostSpell_Shackled,0,0,true,Bullet,Magic,Corruption,,,,,TRUE,0,0.7,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,0.2,,2.2,0,1,0.8,1,,,1,
Mut_Voi_Stacks_1,GhostSpell_Shackled,0,0,true,Bullet,Magic,Corruption,,,,TRUE,TRUE,0,0.4,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,0.2,,2.2,0,1,0.8,1,,,1,
Mut_Voi_Stacks_2,GhostSpell_Shackled,0,0,true,Bullet,Magic,Corruption,,,,TRUE,TRUE,0,0.7,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,0.2,,2.2,0,1,0.8,1,,,1,
Mut_Fir_Curse4_Major,,0,0,false,Bullet,Magic,Fire,,,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,3,,2.2,0,1,3,2,,,1,true
Mut_Voi_Curse4_Major,,0,0,false,Bullet,Magic,Corruption,,,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,3,,2.2,0,1,3,2,,,1,true
Mut_Nat_Curse4_Major,,0,0,false,Bullet,Magic,Nature,,,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,3,,2.2,0,1,3,2,,,1,true
Mut_Ice_Curse4_Major,,0,0,false,Bullet,Magic,Ice,,,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,3,,2.2,0,1,3,2,,,1,true
