DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,IsRanged,AddAffliction,AfflictionPercent,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,HitRuneCharge,HitBlockedRuneCharge
Fire_Bow,CorruptedMagic,0,0,Bullet,Light,Corruption,true,,,,,Deflect_Default,false,0.25,1,1,0,1,0,10,5,10,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.7,1,0,,0.1625,0.325
Corruption_Shot,CorruptedMagic,0,0,Bullet,Heavy,Corruption,true,,,AI_Stun_4sec,true,Deflect_Default,false,1.5,1,1,8,8,8,40,35,40,0,1,0,0.8,0,1,0,0.8,0,0.8,0,0.8,0,0.3,0.3,1,Small,Small,3,2,1,0,,0.1625,0.325
CorruptionCore_Explode,Unarmed,1,0,Bullet,Heavy,Corruption,,Corruption,50,AI_Naga_Corrupted_CorruptionCore,true,Deflect_Default,false,0.5,1,1,4,4,4,40,35,40,0,5,0,0.8,0,5,0,0.8,0,0,0,0.8,1,0.3,0.3,1,Small,Small,3,3,1,0,,0.1625,0.325
Corruption_Vent,Unarmed,1,0,Bullet,Light,Corruption,,Corruption,25,AI_Naga_Corrupted_CorruptionCore,true,Deflect_Default,false,1.35,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.4,1,0,,0.1625,0.325
Volley,Unarmed,0,0,Bullet,Light,Corruption,true,,,,,Deflect_Default,false,0.475,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.4,1,0,,0.1625,0.325
Charge,Unarmed,0,0,Bullet,Light,Strike,,,,,,Deflect_Default,false,1,1,1,2,2,2,20,20,20,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.4,1,0,,0.1625,0.325
Charge_Tail_Whip,Unarmed,0,0,Bullet,Light,Strike,,,,,,Deflect_Default,false,1,1,1,3,3,3,35,30,35,0,8,0,0.8,0,8,0,0.8,0,1.5,0,0.8,0,0.3,0.3,1,Small,Small,3,1,1,0,,0.1625,0.325
Tail_Swipe,Unarmed,0,0,Bullet,Light,Strike,,,,,,Deflect_Default,false,0.75,1,1,3,3,3,35,30,35,0,8,0,0.8,0,8,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.2,1,0,,0.1625,0.325
Tail_Slam,Unarmed,0,0,Bullet,Light,Strike,,,,,,Deflect_Default,false,1.2,1,1,3,3,3,35,30,35,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.4,1,0,,0.1625,0.325
Rapid_Shot,CorruptedMagic,0,0,Bullet,Light,Corruption,true,,,,,Deflect_Default,false,0.1,1,1,0,0,0,10,5,10,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,0.1625,0.325
Explosive_Arrow,CorruptedMagic,0,0,Bullet,Light,Corruption,,Corruption,25,,,Deflect_Default,false,0.8,1,1,0,0,0,10,5,10,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1,1,0,,0.1625,0.325
Pound,Unarmed,0,0,Bullet,Light,Corruption,,,,,,Deflect_Default,false,1,1,1,3,3,3,35,30,35,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.2,1,0,,0.1625,0.325
Corrupted_Flame,Unarmed,0,0,Bullet,Light,Corruption,,Corruption,25,,,Deflect_Default,false,1.25,1,1,2,2,2,25,20,25,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.8,1,0,,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,,,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,,,,,0.1625,0.325
