DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Broken_2H_Slash_L,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,2,3,2,20,25,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_2H_Slash_L_Pick,Sword,0,0,,Bullet,Light,Strike,,,,,,,,false,0.5,1,0.5,2,1,2,20,25,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_2H_Slash_L_R,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,false,1,1,1,3,3,3,30,25,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.75,1,1
Broken_2H_Slash_L_R_Strike,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,false,1,1,1,3,3,3,30,25,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.75,1,1
Broken_2H_TurnAround_Overhead,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,false,1.1,1,1.1,3,3,3,35,30,35,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,1,,1,Small,Small,Small,Small,0,1.1,1,1
Broken_2H_TurnAround_Overhead_Strike,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,false,1.1,1,1.1,3,3,3,35,30,35,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,1,,1,Small,Small,Small,Small,0,1.1,1,1
Broken_2H_TurnAround_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,false,1.1,1,1.1,4,4,4,35,30,35,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,1,,1,Small,Small,Small,Small,0,1.1,1,1
Broken_2H_TurnAround_Strike,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,false,1.1,1,1.1,4,4,4,35,30,35,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,1,,1,Small,Small,Small,Small,0,1.1,1,1
Broken_2H_Flurry,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.4,1,0.4,1,2,1,15,20,15,0,0.2,0,0.8,0,0,0,0.8,0,0.2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.4,1,1
Broken_2H_Flurry_Strike,Sword,0,0,,Bullet,Light,Strike,,,,,,,,false,0.4,1,0.4,1,2,1,15,20,15,0,0.2,0,0.8,0,0,0,0.8,0,0.2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.4,1,1
Skeleton_2H_Flurry,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.4,1,0.4,0,2,0,25,20,25,0,0.2,0,0.8,0,0,0,0.8,0,0.2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.4,1,1
Skeleton_2H_Flurry_Strike,Sword,0,0,,Bullet,Light,Strike,,,,,,,,false,0.4,1,0.4,0,2,0,25,20,25,0,0.2,0,0.8,0,0,0,0.8,0,0.2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.4,1,1
Broken_2H_Overhead,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,false,0.65,1,0.65,3,3,3,25,25,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,1,Large_long,Large_long,Small,Large_long,0,1,1,1
Broken_2H_Overhead_Strike,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,false,0.65,1,0.65,3,3,3,25,25,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,1,Large_long,Large_long,Small,Large_long,0,1,1,1
Skeleton_2H_Flurry2,Sword,0,0,,Bullet,,Slash,,,,,,,,false,0.4,1,0.4,2,2,2,20,20,20,0,0.2,0,0.8,0,0,0,0.8,0,0.2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.4,1,1
Broken_1H_Slash_Standing,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.25,1,0.25,0,2,0,20,15,20,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Slash_L,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.25,1,0.25,0,2,0,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Slash_L_Strike,Sword,0,0,,Bullet,Light,Strike,,,,,,,,false,0.25,1,0.25,0,2,0,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Slash_R,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.25,1,0.25,0,2,0,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Slash_R_Axe,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,2,0,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Slash_R_Strike,Sword,0,0,,Bullet,Light,Strike,,,,,,,,false,0.25,1,0.25,0,2,0,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Overhead_Sword,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.25,1,0.25,2,3,2,20,25,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Overhead,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.25,1,0.25,0,3,0,25,25,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Overhead_Strike,Sword,0,0,,Bullet,Light,Strike,,,,,,,,false,0.25,1,0.25,0,3,0,25,25,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Uppercut_Slash,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.25,1,0.25,0,3,0,25,25,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Uppercut_Strike,Sword,0,0,,Bullet,Light,Strike,,,,,,,,false,0.25,1,0.25,0,3,0,25,25,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Stab_Triple,Sword,0,0,,Bullet,Light,Thrust,,,,,AI_Bleed_9,true,,false,0.1,1,0.1,1,2,1,15,20,15,0,0.2,0,0.8,0,0,0,0.8,0,0.2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.3,1,1
Broken_1H_Stab_Triple_Final,Sword,0,0,,Bullet,Light,Thrust,,,,,AI_Bleed_9,true,,false,0.15,1,0.15,2,2,2,20,20,20,0,0.2,0,0.8,0,0,0,0.8,0,0.2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.5,1,1
Broken_1H_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,,,,,false,0.25,1,0.25,1,2,1,15,15,15,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.75,1,1
Broken_1H_Stab_Pitchfork,Sword,0,0,,Bullet,Light,Thrust,,,,,,,,false,0.25,1,0.25,0,1,0,10,15,10,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.75,1,1
Broken_1H_Running_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,false,1,1,1,3,3,3,30,25,30,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,1,,1,Small,Small,Small,Small,0,1.2,1,1
Broken_1H_Running_Strike,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,false,1,1,1,3,3,3,30,25,30,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,1,,1,Small,Small,Small,Small,0,1.2,1,1
Broken_2H_Running_Stab,Sword,0,0,,Bullet,Heavy,Thrust,,,,,AI_Bleed_9,true,,false,1.3,1,1.3,3,3,3,30,25,30,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.9,1,1
Attack_Crawler_Swipe,Sword,0,0,,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,1,Small,Small,Small,Small,0,0.6,1,1
Broken_1H_ThrownAxe,Sword,0,0,true,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,2,2,2,20,15,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1,,1,Small,Small,Small,Small,0,1,1,1
Broken_1H_Breakout_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,0.5,3,3,3,30,25,30,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,1,,10,Small,Small,Small,Small,0,1,1,1
Broken_1H_Breakout_Strike,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,false,0.5,1,0.5,3,3,3,30,25,30,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,1,,10,Small,Small,Small,Small,0,1,1,1
Broken_2H_Slash_L_Breakout,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,0.5,3,3,3,30,25,30,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,1,,10,Small,Small,Small,Small,0,1,1,1
Broken_2H_Strike_L_Breakout,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,false,0.5,1,0.5,3,3,3,30,25,30,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,1,,10,Small,Small,Small,Small,0,1,1,1
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,1,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,Small,1,,,1
