DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,Unblockable,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Spell_Firestorm,Magic,0,0,1,,Bullet,Magic,Fire,,,,,AI_Burn_9,1,,false,0.25,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,,,,0,0.25,1,0,,0.1625,0.325
Spell_Firestorm_Explosion,Magic,0,0,1,,Bullet,Magic,Fire,,,,,AI_Burn_9,1,,false,0.25,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,,,,0,0.5,1,0,,0.1625,0.325
Spell_Firestorm_Body,Unarmed,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.25,1,1,2,2,2,20,15,20,1.5,1.5,0,0.8,0,0,0,0.8,0,0.6,0,0.8,0,0,,0,,,,0,0.5,1,0,,0.1625,0.325
Spell_Fireblast,Magic,0,0,1,,Bullet,Magic,Fire,,,,,AI_Burn_9,1,,false,0.75,1,1,1,1,1,15,10,15,0,2,0,0.8,0,0,0,0.8,2.5,0,0,0.8,0,0,,0,,,,0,0.75,1,0,,0.1625,0.325
Attack_SwipeL,Unarmed,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.35,1,1,0,0,0,10,10,10,0,0.6,0,0.8,0,0,0,0.8,0,0.6,0,0.8,0,0,,0,,,,0,0.25,1,0,,0.1625,0.325
Attack_SwipeR,Unarmed,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.35,1,1,0,0,0,10,10,10,0,0.6,0,0.8,0,0,0,0.8,0,0.6,0,0.8,0,0,,0,,,,0,0.25,1,0,,0.1625,0.325
Attack_Lunge,Unarmed,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.6,1,1,2,1,2,25,20,20,0,1,0,0.8,0,0,0,0.8,0,0.9,0,0.8,0,0,,0,,,,0,0.35,1,0,,0.1625,0.325
Attack_Stomp,Unarmed,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.25,1,1,3,3,3,35,30,35,1.5,3,0,0.8,1.5,3,0,0.8,1.5,3,0,0.8,0,0,,0,,,,0,0.5,1,0,,0.1625,0.325
Attack_Run_Flurry_Swipe,Unarmed,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.35,1,1,0,0,0,10,10,10,0,0.25,0,0.8,0,0,0,0.8,0,0.4,0,0.8,0,0,,0,,,,0,0.5,1,0,,0.1625,0.325
Attack_Run_Flurry_UpperCut,Unarmed,0,0,,,Bullet,Light,Slash,,,,,,,,false,0.5,1,1,0,0,0,10,20,10,0,0.25,0,0.8,0,0,0,0.8,0,0.4,0,0.8,0,0,,0,,,,0,0.6,1,0,,0.1625,0.325
Attack_Run_Flurry_End,Unarmed,0,0,,,Bullet,Heavy,Fire,,,,,AI_Burn_9,1,,false,0.6,1,1,3,3,3,40,35,40,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,,,,0,0.6,1,1,,0.1625,0.325
