DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
DPT_Attack_Close_2H_Axe_04,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.25,0.25,0,0,0,0,10,5,0,0,1,0,0.8,0,0,0,0.2,0,0,0,0,0,1,,1,Small,Small,Small,3,0.5,1,1,0.1625,0.325
DPT_Attack_Close_2H_Axe_05,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.25,0.25,0,0,0,0,10,5,0,0,1,0,0.8,0,0,0,0.2,0,0,0,0,0,1,,1,Small,Small,Small,3,0.5,1,1,0.1625,0.325
DPT_Attack_P1,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.8,0.25,1,1,1,0,15,10,15,0,1,0,0.8,0,0,0,0.2,0,0,0,0,0,1,,1,Small,Small,Small,3,0.5,1,1,0.1625,0.325
DPT_Attack_Mid_2H_Axe_01,Axe,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.5,0.5,0,3,1,0,20,10,0,0,1.25,0,0.8,0,0,0,0.3,0,0,0,0,0,1,,1,Small,Small,Small,4,1.5,1,1,0.1625,0.325
DPT_Attack_SandJuggernaut_RunAtk,Axe,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,0.3,0.3,0,0,1,0,15,10,0,0,1,0,0.8,0,0,0,0.2,0,0,0,0,0,0.4,,5,Small,Small,Small,4,0.2,1,1,0.1625,0.325
DPT_Attack_SandJuggernaut_AxeButt,Axe,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,0.35,0.35,0,1,1,0,15,10,15,0,1,0,0.8,0,0,0,0.4,0,0,0,0,0,0.6,,5,Small,Small,Small,4,0.4,1,1,0.1625,0.325
DPT_Attack_SandDevil_Atk1,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.3,0.3,0,0,1,0,10,5,0,0,0.15,0,0.8,0,0,0,0.3,0,0,0,0,0,0.65,,10,Small,Medium,Medium,3,0.2,1,0.5,0.1625,0.325
DPT_Attack_SandDevil_Atk2,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.35,0.35,0,0,1,0,10,5,0,0,0.15,0,0.8,0,0,0,0.3,0,0,0,0,0,0.7,,10,Small,Medium,Medium,3,0.4,1,0.5,0.1625,0.325
DPT_Attack_SandDevil_Atk3,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.35,0.35,0,2,2,0,10,5,0,0,1,0,0.8,0,0,0,0.3,0,0,0,0,0,0.75,,10,Small,Large,Large,3,0.6,1,0.5,0.1625,0.325
DPT_Attack_SandDevil_AOE_React1,Axe,0,0,true,Bullet,Light,Nature,,,,,AI_DPTank_SandDevil_Rend_Cyclone,true,Deflect_Default,false,0.05,0,0,1,1,0,5,5,0,0,0.4,0,0.8,0,0,0,0,0,0,0,0,0,0,,1,Small,Small,Small,3,0.05,1,0,0.1625,0.325
DPT_Attack_SandDevil_AOE_React2,Axe,0,0,true,Bullet,Light,Slash,,,,,AI_DPTank_SandDevil_Bleed_Axe,true,Deflect_Default,false,0.05,0,0,2,1,0,25,20,25,0,0.6,0,0.8,0,0,0,0,0,0,0,0,0,0,,1,Small,Small,Small,3,0.05,1,0,0.1625,0.325
DPT_Attack_WorldSplitter_Atk1,Axe,0,0,,Bullet,Heavy,Slash,,,,,AI_DPTank_WorldSplitter_Bleed_Axe,true,Deflect_Default,false,1,1,0,1,1,0,15,10,15,0,2,0,0.8,0,0,0,0.3,0,0,0,0,0,2,,1,Small,Large,Large,4,1,1,2,0.1625,0.325
DPT_Attack_WorldSplitter_01,Axe,0,0,,Bullet,Heavy,Nature,,,,,,,Deflect_Default,false,0.15,0.2,0,1,1,0,15,10,15,0,0.1,0,0.8,0,0,0,0.05,0,0,0,0,0,0.2,,0,Small,Small,Small,3,0.2,1,1,0.1625,0.325
DPT_Attack_WorldSplitter_02,Axe,0,0,,Bullet,Heavy,Nature,,,,,,,Deflect_Default,false,0.25,0.4,0,1,1,0,15,10,15,0,0.1,0,0.8,0,0,0,0.1,0,0,0,0,0,0.2,,0,Small,Small,Small,3,0.4,1,1,0.1625,0.325
