DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,Unblockable,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,UseAttackerPosForReaction,DamageGuildAndGroup,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Damned_Priest_Fireball_Spell,VoidGauntlet_Proj,0,0,true,,Bullet,Magic,Arcane,,,,,,,,,,false,0.25,1,1,0,0,0,10,10,10,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,0,Small,Small,Small,0,0.33,1,1,0.1625,0.325
Petrifying_Scream,VoidGauntlet_Proj,0,0,true,,Bullet,Heavy,Arcane,,,,,AI_Snare_2sec,true,,,Deflect_Default,false,0.15,1,1,1,1,1,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0.1,1,0,0.1625,0.325
Damned_Priest_BlastAway_Spell,VoidGauntlet_Special,0,0,,,Bullet,Magic,Arcane,,,,,,,,,,false,0.3,1,1,4,4,4,30,20,30,0,7,0.75,0.8,0,0,0,0.8,0,7,0.75,0.8,0,1.2,,1,Small,Small,Small,1,0.55,1,1,0.1625,0.325
Damned_Priest_Close_Staff_Attack,Club,0,0,,,Bullet,Light,Strike,,,,,,,,,Deflect_Default,false,0.25,1,1,0,0,0,10,10,10,0,1.25,0,0.8,0,0,0,0,0,1.25,0,0.8,0,0.15,,1.75,Small,Small,Small,1,0.15,1,0,0.1625,0.325
Overhead_Staff_Attack,Club,0,0,,,Bullet,Heavy,Strike,,,,,,,,,Deflect_Default,false,0.3,1,1,3,3,3,25,20,25,0,1.75,0,0.8,0,0,0,0,0,1.75,0,0.8,0,0.8,,1.75,Small,Small,Small,1,0.7,1,1,0.1625,0.325
Soul_Drain_KnockBack,VoidGauntlet_Special,0,0,,,Bullet,Magic,Arcane,,,,,,,,,Deflect_Default,false,0.2,1,1,3,3,3,25,20,25,0,7,0,0.8,0,0,0,0,0,7,0,0.8,0,0.8,,1.75,Small,Small,Small,1,0.7,1,1,0.1625,0.325
Soul_Split_KnockDown,VoidGauntlet_Special,0,0,,,Bullet,Magic,Arcane,,,,,,,,,Deflect_Default,false,0.15,1,1,4,4,4,25,20,25,0,7,0,0.8,0,0,0,0,0,7,0,0.8,0,0.8,,1.75,Small,Small,Small,1,0.7,1,1,0.1625,0.325
Soul_Drain,Unarmed,0,1,true,,Bullet,Magic,Arcane,,,,,AI_BrotherUmberto_HealthDebuff,true,,,Deflect_Default,false,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,1,0,0.1625,0.325
1H_Sword_Attack1,Sword,0,0,,,Bullet,Light,Thrust,,,,,,,,,Deflect_Default,false,0.25,1,1,0,2,0,30,25,30,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,0,0.1625,0.325
1H_Sword_Attack1_Slash,Sword,0,0,,,Bullet,Light,Slash,,,,,,,,,Deflect_Default,false,0.25,1,1,0,2,0,30,25,30,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,0,0.1625,0.325
Reunion_Souls,Unarmed,0,0,,,,,,,,,,,,,true,Deflect_Default,false,0,0,0,3,3,3,30,30,30,0,-8,0,0.8,0,-8,0,0.8,0,-8,0,0.8,0,1.5,,1.5,Small,Small,Small,3,0,1,16,0.1625,0.325
Reunion_Kill,Unarmed,0,0,,,,Heavy,Strike,,,,,,,,true,Deflect_Default,false,100,1,0,51,51,51,20,20,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.5,,1.5,Small,Small,Small,3,1.25,1,0,0.1625,0.325
Reunion,Unarmed,0,0,,,,Heavy,,,,,,,,true,,Deflect_Default,false,0,0,0,0,0,0,30,30,30,0,-1,0,0.7,0,-1,0,0.7,0,0,0,0.7,0,1.5,,1.5,Small,Small,Small,3,0,1,50,0.1625,0.325
Fall,Fall,1,1,,,Bullet,,Falling,,,,,,,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,,Bullet,,Falling,,,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,0,0.1625,0.325
