DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,IsRanged,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Slash_L,Sword,0,0,Bullet,Light,,Slash,,,,,false,0.45,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.4,1,0,0.1625,0.325
Attack_Slash_R,Sword,0,0,Bullet,Light,,Slash,,,,,false,0.45,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.4,1,0,0.1625,0.325
Attack_Strike_L,Sword,0,0,Bullet,Heavy,,Slash,,,,,false,0.5,1,1,2,2,,20,15,,0,1,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.45,1,0,0.1625,0.325
Attack_Flame_Lance,Sword,0,0,Bullet,Light,,Slash,,,,,false,0.7,1,1,1,1,,15,10,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.2,1,0,0.1625,0.325
Attack_Flame_Lance_Body,Sword,0,0,Bullet,Light,,Strike,,,,,false,0.3,1,1,2,2,,20,15,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.3,1,0,0.1625,0.325
Attack_Flame_Lance_End,Sword,0,0,Bullet,Heavy,,Strike,,,,,false,0.85,1,1,3,3,,25,20,,0,1.25,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.8,1,0,0.1625,0.325
Attack_Flurry,Sword,0,0,Bullet,Light,,Slash,,,,,false,0.55,1,1,1,1,,15,10,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.4,1,0,0.1625,0.325
Spell_Flurry_Impact,Sword,0,0,Bullet,Heavy,,Strike,AI_FireDMG_25,,,,false,0.8,1,1,3,3,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.5,1,0,0.1625,0.325
Attack_Flurry_End,Sword,0,0,Bullet,Heavy,,Slash,,,,,false,0.6,1,1,2,2,,20,15,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.65,1,0,0.1625,0.325
ConcealedBlastStart,Sword,0,0,Bullet,Light,,Strike,,,,,false,0,1,1,4,2,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,4,2,1,0,0.1625,0.325
ConcealedBlastEnd,Sword,0,0,Bullet,Light,,Strike,,,,,false,0.9,1,1,4,3,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,4,2,1,0,0.1625,0.325
ConcealedBlastAOE,Sword,0,0,Bullet,Light,,Fire,,,,,false,0.3,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,1,,1,Small,Small,,0,0.2,1,0,0.1625,0.325
ConcealedBlastFireWhirl,Sword,0,0,Bullet,Light,,Fire,,,,,false,0.2,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,1,,1,Small,Small,,0,0.2,1,0,0.1625,0.325
ConcealedBlastFireWhirlChase,Sword,0,0,Bullet,Light,,Fire,,,,,false,0.225,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,1,,1,Small,Small,,0,0,1,0,0.1625,0.325
TorrentFlame,Sword,0,0,Bullet,Light,,Fire,,,,,false,0.2,1,1,0,0,,15,10,,0,0,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,0,0.25,1,0,0.1625,0.325
EmblazonedPath,Sword,0,0,Bullet,Light,,Fire,,AI_Burn_9,false,,false,0.4,1,1,3,3,,25,20,,0,2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.66,1,0,0.1625,0.325
Spell_Rampant_Flame_Buff,Sword,1,1,Bullet,Light,,Fire,,AI_Inquisitor_RampantFlame,false,,false,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,0,0,0,0,0,0
Spell_Breathless_Exhausted_Debuff,Sword,1,1,Bullet,Light,,Fire,,AI_Trial_Quest_Seraphim_Breathless_Seraph_Exhausted,false,,false,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,0,0,0,0,0,0
