DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,HitRuneCharge,HitBlockedRuneCharge
LotusScarab_Intro,Unarmed,,,,Bullet,Light,Thrust,,,,,false,0.35,1,1,1,1,1,20,15,20,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,0.5,,1,Small,Small,Small,3,0.7,1,1,0,0.1625,0.325
LotusScarab_Horn,Unarmed,,,,Bullet,Light,Thrust,,,,,false,0.35,1,1,1,1,1,20,15,20,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,0.25,,1,Small,Small,Small,3,0.5,1,1,0,0.1625,0.325
LotusScarab_Slash_Right,Unarmed,,,,Bullet,Heavy,Slash,,,,,false,0.45,1,1,2,2,2,20,15,20,-1,2,0,0.8,-1,2,0,0.8,0,0,0,0.8,0,0.25,,1,Small,Small,Small,3,0.25,1,1,0,0.1625,0.325
LotusScarab_Slash_Left,Unarmed,,,,Bullet,Heavy,Slash,,,,,false,0.45,1,1,2,2,2,20,15,20,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,0.25,,1,Small,Small,Small,3,0.25,1,1,0,0.1625,0.325
LotusScarab_BodySlam,Unarmed,,,,Bullet,Heavy,Strike,,,,,false,0.45,1,1,4,4,4,40,35,40,2,3,0,0.8,2,3,0,0.8,0,0,0,0.8,0,0.6,,2,Small,Small,Small,3,1,1,1,0,0.1625,0.325
LotusScarab_BodySlam_Shockwave,Unarmed,,,,Bullet,Heavy,Strike,,,,,false,0.55,1,1,4,4,4,40,35,40,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0.4,,1,Small,Small,Small,3,0.5,1,1,0,0.1625,0.325
LotusScarab_Charge,Unarmed,,,,Bullet,Heavy,Strike,,,,,false,0.8,1,1,3,3,3,30,25,30,2,3,0,0.8,2,3,0,0.8,0,0,0,0.8,0,0.4,,2,Small,Small,Small,3,0.4,1,1,0,0.1625,0.325
LotusScarab_Move,Unarmed,,,,Bullet,Light,Strike,,,,,false,0.2,1,1,2,2,2,30,25,30,2,3,0,0.8,2,3,0,0.8,0,0,0,0.8,0,0.25,,2,Small,Small,Small,3,0.4,1,1,0,0.1625,0.325
LotusScarab_Sunspots,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.1,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.25,,1,Small,Small,Small,3,0.3,1,1,0,0.1625,0.325
LotusScarab_SolarBlast,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.5,1,1,2,2,2,20,15,20,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,0.3,,1,Small,Small,Small,3,0.3,1,1,0,0.1625,0.325
LotusScarab_AncientSunBeam,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.2,1,1,0,0,0,15,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,2,Small,Small,Small,3,0.1,1,1,0,0.1625,0.325
LotusScarab_RazingBeam,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.4,1,1,4,4,4,40,35,40,2.5,2,0,0.8,2.5,2,0,0.8,0,0,0,0.8,0,0.5,,1,Small,Small,Small,3,0.3,1,1,0,0.1625,0.325
LotusScarab_Overload,AncientMagic,,,,Bullet,Magic,Fire,,,,,false,1,1,1,4,4,4,40,35,40,0,5,0,0.8,0,5,0,0.8,0,0,0,0.8,0,2,,10,Small,Small,Small,3,0,1,1,0,0.1625,0.325
