DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Acolyte_Mine_AOE,CorruptedMagic,0,0,true,Bullet,Magic,Standard,,,,Deflect_Default,false,0.8,1,1,3,3,3,30,25,30,0,2.25,0,0.8,0,1.5,0,0.8,0,2.25,0,0.8,0,10,,1,Small,Small,Small,4,3,1,1
Acolyte_EnergyDash,CorruptedMagic,1,1,,Bullet,Magic,Falling,,,,,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.5,Small,Small,Small,1,,,0
Acolyte_Corruption_Bolt_Spell,CorruptedMagic,0,0,true,Bullet,Magic,Corruption,,,,,false,0.25,1,1,0,0,0,20,20,20,0,1.5,0,0.8,0,0.5,0,0.8,0,1.5,0,0.8,0,0,,0,Small,Small,Small,0,0.1,1,0
Acolyte_Fireball_Spell,CorruptedMagic,0,0,true,Bullet,Magic,Corruption,,,,,false,1,1,1,3,3,3,30,30,30,0,2,0,0.8,0,1,0,0.8,0,2,0,0.8,0,0,,1,Small,Small,Small,0,1,1,1
Acolyte_Fireball_Spell_Minion,CorruptedMagic,0,0,true,Bullet,Magic,Corruption,,,,,false,1,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,Small,Small,Small,0,0.1,1,1
Damned_Priest_Close_Staff_Attack,Unarmed,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.35,1,1,0,0,0,30,30,30,0,1.75,0,0.8,0,0,0,0,0,1.75,0,0.8,0,1.5,,1.75,Small,Small,Small,3,0.1,1,0
Damned_Priest_Close_Overhead_Staff_Attack,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.6,1,1,3,3,3,30,30,30,0,1.75,0,0.8,0,0,0,0,0,1.75,0,0.8,0,1.5,,1.75,Small,Small,Small,3,0.5,1,0
Acolyte_BlastAway_Spell,CorruptedMagic,0,0,true,Bullet,Magic,Corruption,,,,,false,0.5,1,1,4,4,4,30,30,30,0,6,0.75,0.8,0,1.5,0,0.8,0,6,0.75,0.8,0,1.2,,1,Small,Small,Small,3,0.6,1,1
Damned_Priest_BlastAway_Spell,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,false,0.5,1,1,4,4,4,30,30,30,0,6,0.75,0.8,0,1.5,0,0.8,0,6,0.75,0.8,0,1.2,,10,Small,Small,Small,1,1.5,1,1
Fall,Fall,1,1,,Bullet,,Falling,,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,1
