DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
SkeleTest_Slash,Club,0,0,Bullet,Light,Strike,,,,,false,0.4,1,,0,1,,25,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,0,0.1625,0.325
Wing_Stab,Sword,0,0,Bullet,Light,Thrust,,,,,false,0.4,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1,1,0,0.1625,0.325
WingSweep_01,Sword,0,0,Bullet,Light,Slash,,,,,false,0.6,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.3,1,0,0.1625,0.325
WingSweep_02,Sword,0,0,Bullet,Light,Slash,,,,,false,0.4,1,1,0,1,,20,20,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.2,1,0,0.1625,0.325
WingSweep_03,Sword,0,0,Bullet,Light,Slash,,,,,false,0.6,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.3,1,0,0.1625,0.325
WingSweep_04,Sword,0,0,Bullet,Light,Slash,,,,,false,0.4,1,1,0,1,,20,20,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.2,1,0,0.1625,0.325
Spin_01,Sword,0,0,Bullet,Light,Strike,,,,,false,0.1,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.25,1,0,0.1625,0.325
Spin_End,Sword,0,0,Bullet,Light,Strike,,,,,false,0.7,1,1,3,1,,25,20,,0,3,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1.2,1,1,0.1625,0.325
SwoopSlash,Sword,0,0,Bullet,Light,Strike,,,,,false,0.6,1,1,4,2,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,2,1,1,0.1625,0.325
Lunge,Sword,0,0,Bullet,Light,Corruption,,,,,false,0.7,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1.4,1,1,0.1625,0.325
ShoulderSlash_Wave,CorruptedSlash,0,0,Bullet,Light,Corruption,,,,,false,0,0,0,2,1,,25,20,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.7,1,1,0.1625,0.325
DiveBomb,Sword,0,0,Bullet,Light,Strike,,,,,false,0.8,1,1,5,2,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.8,1,1,0.1625,0.325
Fissure,Sword,0,0,Bullet,Light,Corruption,,,,,false,0.1,1,1,0,1,,15,20,,0,0,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,0,0.1625,0.325
CorruptionStorm_Pylon,Sword,0,1,Bullet,Light,Corruption,,,,,false,0.2,1,1,0,1,,25,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,0,0.1625,0.325
CorruptionStorm_Meteor,Sword,0,0,Bullet,Light,Corruption,,,,,false,0.65,1,1,3,1,,30,20,,0,2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1,1,1,0.1625,0.325
Stage_Transition_Pushback,Sword,0,0,Bullet,Light,Strike,,,,,false,0.2,1,1,3,1,,25,20,,0,3,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1,1,1,0.1625,0.325
Pylon_Spawn,Sword,1,0,Bullet,Light,Strike,,,,,false,0,0,0,3,3,,25,20,,0,4,0,0.8,0,4,0,0.8,,,,,0,1,,1,Small,Small,,2,10,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,1,1,,2,2,,0,0,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,0,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,10,Small,,,1,,,1,0.1625,0.325
