DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Greataxe_Whirlwind,GreatAxe,0,0,,Bullet,Light,Slash,AI_FireDMG_25,AI_Evil_Knight_Fire_Champion_Overheat,,Deflect_Default,false,0.3,0.25,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0.25,0,0.8,0,0.5,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.5,1,0,0.1625,0.325
Greataxe_Whirlwind_Fireball,GreatAxe,0,0,true,Bullet,Light,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.4,0.2,1,0,0,0,10,10,10,0,0.25,0,0.8,0,0,0,0.8,0,0.25,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.35,1,0,0.1625,0.325
Greataxe_Execution,GreatAxe,0,0,,Bullet,Heavy,Slash,AI_FireDMG_25,,,Deflect_Default,false,1.3,0.5,1,3,3,3,30,20,30,0,0.5,0,0.8,0,0.25,0,0.8,0,0.5,0,0.8,0,0.2,0.3,0,Small,Small,Small,3,2,1,0,0.1625,0.325
Greataxe_Execution_AoE,GreatAxe,0,0,,Bullet,Light,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.35,0.25,1,0,0,0,10,10,10,0,0.25,0,0.8,0,0,0,0.8,0,0.25,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,1.2,1,0,0.1625,0.325
Greataxe_Swing_L,GreatAxe,0,0,,Bullet,Light,Slash,AI_FireDMG_25,AI_Evil_Knight_Fire_Champion_Overheat,,Deflect_Default,false,0.8,0.25,1,0,0,0,10,10,10,0.25,0,0,0.8,0.25,0,0,0.8,0.25,0,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.6,1,0,0.1625,0.325
Greataxe_Swing_R,GreatAxe,0,0,,Bullet,Light,Slash,AI_FireDMG_25,AI_Evil_Knight_Fire_Champion_Overheat,,Deflect_Default,false,0.8,0.25,1,0,0,0,10,10,10,-0.25,0,0,0.8,-0.25,0,0,0.8,-0.25,0,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.6,1,0,0.1625,0.325
Greataxe_Shockwave,GreatAxe,0,0,,Bullet,Heavy,Slash,AI_FireDMG_25,,,Deflect_Default,false,1,0.75,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0.25,0,0.8,0,0.5,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,3,1,0,0.1625,0.325
Greataxe_Shockwave_AoE,GreatAxe,0,0,,Bullet,Heavy,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.4,0.75,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0.25,0,0.8,0,0.5,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.85,1,0,0.1625,0.325
Greataxe_Eruption,GreatAxe,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.7,0.5,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.6,1,0,0.1625,0.325
Greataxe_Eruption_AoE,GreatAxe,0,0,,Bullet,Heavy,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.2,0.1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.35,1,0,0.1625,0.325
Greataxe_FloorIsLava,GreatAxe,0,0,,Bullet,Light,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.45,0.1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,0.2,0,Small,Small,Small,3,0.5,1,0,0.1625,0.325
