DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,HitRuneCharge,HitBlockedRuneCharge
AG_Spearman_Stab_NoReaction,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.15,1,1,0,0,0,13,8,13,0,0,0,0.8,0,1,0,0.8,0,1,0,0.8,0,1,1,1,Small,Small,0,0.1,1,0,0,0.1625,0.325
AG_Spearman_Stab_01,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.3,1,1,0,0,0,13,8,13,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,1,1,1,Small,Small,0,0.1,1,0,0,0.1625,0.325
AG_Spearman_Stab_02,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.3,1,1,2,2,2,20,15,20,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,1,1,1,Small,Small,0,0.15,1,1,0,0.1625,0.325
AG_Spearman_ShieldBash_Sweep,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0.65,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,1,0,0.8,0,1.5,1.5,1.5,Small,Small,0,0.8,1,1,0,0.1625,0.325
AG_Spearman_PushNoDamage,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0,1,1,3,3,4,30,25,30,0,1,0,0.8,0,2,0,0.8,0,1,0,0.8,0,1.5,1.5,1.5,Small,Small,0,0.8,1,1,0,0.1625,0.325
AG_Spearman_ShieldBash_Rush,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0.45,1,1,2,2,2,25,20,25,0,2,0,0.8,0,2,0,0.8,0,1,0,0.8,0,1.5,1.5,1.5,Small,Small,0,0.8,1,1,0,0.1625,0.325
Javelineer_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.35,1,1,0,1,0,15,10,15,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.15,1,0,0,0.1625,0.325
Javelineer_Flurry,Sword,0,0,,Bullet,Light,Thrust,,,,,false,0.15,1,1,1,1,1,15,15,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.2,1,1,0,0.1625,0.325
Javelineer_Throw,Sword,0,0,true,Bullet,Light,Thrust,,,,,false,0.4,1,1,0,1,0,10,15,10,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,0,0,Small,Small,0,0.2,1,0,0,0.1625,0.325
Javelineer_Heroic_Throw,Sword,0,0,true,Bullet,Heavy,Arcane,,,,,false,0.65,1,1,3,3,3,30,25,30,0,5,0,0.8,0,5,0,0.8,0,0,0,0.8,0,0,0,0,Small,Small,0,0.8,1,1,0,0.1625,0.325
Javelineer_Lunge,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0.65,1,1,4,4,4,20,15,20,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.7,1,1,0,0.1625,0.325
Javelineer_Lunge_Knockback,Sword,0,0,,Bullet,Heavy,Thrust,,,,,false,0.25,1,1,3,3,4,30,25,30,0,5,0,0.8,0,5,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.7,1,1,0,0.1625,0.325
Javelineer_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,false,0.35,1,1,0,1,0,30,25,30,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,1,1,1,Small,Small,0,0.2,1,0,0,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,,0,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,,1,1,1,0.1625,0.325
