DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,IsSiege,DamageType,Affliction,AddAffliction,AfflictionPercent,StatusEffect,EffectOnlyOnDamage,SurfaceImpactEffect,DeflectDamageID,CanCrit,ForceAttackToHit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,CameraShakeID,TargetCameraShakeID,BlockCameraShakeID,BlockTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,DamageReceiverCooldown,HitRuneCharge,HitBlockedRuneCharge
Spike_T0,Unarmed,0,0,,true,Standard,,,,,,Bullet,,false,,1,1,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
PowderKeg_T1,Unarmed,0,0,,true,Siege,,,,,,Bullet,,false,,1,1,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
Disease,Unarmed,0,1,,true,,,,,,,Bullet,,false,,1,1,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
Tower_T0,Unarmed,0,0,,true,Standard,,,,,,Bullet,,false,,1,1,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
FireTrebuchet_DoT,Unarmed,0,1,,true,Fire,,,,,,Bullet,,false,,1.2,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,0,,0.1625,0.325
FireTrebuchet_Explosion,Unarmed,0,0,,true,Fire,,,,,,Bullet,,false,,1.2,1,,4,3,4,50,30,50,0,8,0,0.8,0,8,0,0.8,0,1,1,,,,,4,1,1,1,,0.1625,0.325
Cannon_Projectile,CannonBall,0,0,true,true,Siege,,,,,,Bullet,,true,,1,1.3,1.3,4,3,4,50,30,50,0,8,0,0.8,0,8,0,0.8,0,1,1,,Small,,Small,4,1,1,1,,0.1625,0.325
WitheredTrebuchet_Projectile,Unarmed,0,0,true,true,Strike,,,,,,Bullet,,false,,1,1,,4,3,4,50,30,50,0,4,0,0.8,0,4,0,0.8,0,1,1,,,,,4,1,1,1,,0.1625,0.325
WitheredTrebuchet_DoT,Unarmed,0,1,,true,AfflictionDisease,AfflictionDisease,,,,,Bullet,,false,,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
WitheredTrebuchet_Risen_Explosion,Unarmed,0,0,,true,Strike,,,,,,Bullet,,false,,1,1,,2,2,2,25,20,25,0,2,0,0.8,0,2,0,0.8,0,1,1,,,,,2,1,1,1,,0.1625,0.325
BallistaTurret_Projectile,Ballista,0,0,true,true,Siege,,,,,,Bullet,,true,,1,1.3,1.3,4,3,4,50,30,50,0,4,0,0.8,0,4,0,0.8,0,1,1,,Small,,Small,4,1,1,1,,0.1625,0.325
LandMine_Explosion,Unarmed,0,0,,true,Strike,,,,,,Bullet,,false,,1,1,,4,3,4,50,30,50,0,8,0,0.8,0,8,0,0.8,0,1,1,,,,,4,1,1,1,,0.1625,0.325
FireMine_Explosion,Unarmed,0,1,,true,Fire,,,,,,Bullet,,false,,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
FireMine_DoT,Unarmed,0,1,,true,Fire,,,,,,Bullet,,false,,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0.49,0.1625,0.325
RepeaterTurret_Projectile,Bow,0,0,true,true,Thrust,,,,,,Bullet,,true,,1.2,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
OR_RepeaterTurret_Projectile,Bow,0,0,true,true,Siege,,,,,,Bullet,,true,,1,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
FireBarrelDropper_Explosion,Unarmed,0,1,,true,Fire,,,,,,Bullet,,false,,1.2,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
FireBarrelDropper_DoT,Unarmed,0,1,,true,Fire,,,,,,Bullet,,false,,1.325,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0.49,0.1625,0.325
