DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,1,1,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,0,,1,
Elite_GRIT,Sword+Fire,0,0,,Bullet,,Standard,,,,,,,Deflect_Default,false,0,0,,1,1,1,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,Small,0,0,1,1,
Attack_SwipeL_01_P1,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.27,1,,2,1,0,14,16,14,-0.35,1.65,0,0.68,0,0,0,0.66,-0.35,1.65,0,0.68,0,0,,0,Small,Small,Small,1,0.23,1,0,
Attack_SwipeL_01,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.27,1,,2,1,0,14,16,14,-0.35,1.65,0,0.68,0,0,0,0.66,-0.35,1.65,0,0.68,0,0,,0,Small,Small,Small,1,0.23,1,0,
Attack_SwipeL_02,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.22,1,,2,1,0,18,16,18,0,1.5,0,0.68,0,0,0,0.68,0,1.5,0,0.68,0,0,,0,Small,Small,Small,1,0.24,1,0,
Attack_SwipeR_01_P1,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.27,1,,2,1,0,16,18,16,0.5,1.85,0,0.69,0,0,0,0.7,0.5,1.85,0,0.69,0,0,,0,Small,Small,Small,1,0.29,1,0,
Attack_SwipeR_01,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.27,1,,2,1,0,16,18,16,0.5,1.85,0,0.69,0,0,0,0.7,0.5,1.85,0,0.69,0,0,,0,Small,Small,Small,1,0.29,1,0,
Attack_SwipeR_02,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.23,1,,2,1,0,18,17,18,0,1.4,0,0.67,0,0,0,0.7,0,1.4,0,0.67,0,0,,0,Small,Small,Small,1,0.25,1,0,
Attack_Stab_01_P1,Sword,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.27,1,,2,2,0,16,26,16,0,2.4,0,0.7,0,0,0,0.7,0,2.4,0,0.7,0,0,,0,Small,Small,Small,1,0.28,1,0,
Attack_Stab_02_P1,Sword,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.28,1,,2,2,0,19,26,19,0,2.15,0,0.68,0,0,0,0.7,0,2.15,0,0.68,0,0,,0,Small,Small,Small,1,0.28,1,0,
