DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Undead_Hunter_Bow_Normal,Bow,0,0,true,Bullet,Light,Thrust,,,,Deflect_Default,false,0.4,1,1,0,0,0,15,10,15,0,1,0,0.8,0,0,0,0.85,0,0.5,0,0.85,0,0.2,,0,Small,Small,3,0.1,1,0,0.1625,0.325
Undead_Hunter_Bow_Special,Bow,0,1,true,Bullet,Heavy,Thrust,,,,Deflect_Default,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,0,,,3,0,1,0,0.1625,0.325
Undead_Hunter_Bow_Special_Explosion,Sword,0,0,true,Bullet,Magic,Fire,,AI_Disease,true,Deflect_Default,false,1,1,1,3,3,3,30,25,30,0,2.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.6,,0.6,Medium,Medium,3,0.75,1,1,0.1625,0.325
Undead_Hunter_WispFire_Explosion,Torch,0,0,true,Bullet,Magic,Fire,,UndeadHunter_Burn,true,Deflect_Default,false,0.6,1,1,3,3,3,30,25,30,0,1.5,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.6,,0.6,Medium,Medium,3,0.75,1,1,0.1625,0.325
Undead_Hunter_SpitFire,Torch,0,0,true,Bullet,Magic,Fire,,UndeadHunter_Burn,true,Deflect_Default,false,0.14,1,1,2,2,2,20,10,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.05,,0.7,Medium,Medium,3,0.1,1,0.667,0.1625,0.325
Undead_Hunter_Torch_Swing,Torch,0,0,,Bullet,Heavy,Fire,,,,Deflect_Default,false,0.3,1,1,0,0,0,15,10,15,0,1.3,0,0.85,0,0,0,0.85,0,1.3,0,0.85,0,0.2,,0.6,Small,Small,3,0.2,1,0,0.1625,0.325
Undead_Hunter_Torch_Swing_Combo,Torch,0,0,,Bullet,Heavy,Fire,,,,Deflect_Default,false,0.2,1,1,0,0,0,15,10,15,0,1,0,0.85,0,0,0,0.85,0,1,0,0.85,0,0.2,,0.6,Small,Small,3,0.2,1,0,0.1625,0.325
Undead_Hunter_Swing_Breakout,Torch,0,0,,Bullet,Heavy,Fire,,UndeadHunter_Burn,true,Deflect_Default,false,0.3,1,1,3,3,3,35,30,35,0,3.5,0,0.8,0,0,0,0.8,0,3.5,0,0.8,0,0.5,,0.6,Small,Small,3,0.5,1,1,0.1625,0.325
Undead_Hunter_Bow_Breakout,Bow,0,0,true,Bullet,Light,Thrust,,,,Deflect_Default,false,0.3,1,1,2,2,2,25,20,25,0,2.5,0,0.8,0,0,0,0.8,0,2.5,0,0.8,0,0.04,,0.6,Small,Small,3,0.33,1,1,0.1625,0.325
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.8,,,,,0,0,,10,Small,,3,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.8,,,,,0,0,,10,Small,,3,,,1,0.1625,0.325
