DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefCrit,DmgCoefHead,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,Unblockable,HitRuneCharge,HitBlockedRuneCharge
Spear_Flurry,Spear_AI,,,,,Light,Thrust,,,,,false,0.285,1,1,0,1,0,15,15,15,0,0.3,0,0.8,0,0.3,0,0.8,0,0.25,0,0.8,0,0.3,,Small,,,0.24,1,0,,,0.1625,0.325
Spear_Flurry_Bump,Spear_AI,,,,,Light,Thrust,,,,,false,0.285,1,1,0,1,0,15,15,15,0,0.5,0,0.8,0,0.5,0,0.8,0,0.25,0,0.8,0,0.3,,Small,,,0.24,1,0,,,0.1625,0.325
Spear_Swipe,Spear_AI,,,,,Light,Slash,,,,,false,0.7,1,1,0,1,0,15,10,25,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0.6,,Small,,,0.5,1,0.5,,,0.1625,0.325
Spear_Swipe_Wave,Spear_AI,,,,,Light,Slash,,,,,false,0.4,1,1,0,1,0,15,10,25,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0.6,,Small,,,0.5,1,0.5,,,0.1625,0.325
Spear_Lunge,Spear_AI,,,,,Heavy,Thrust,,,,,false,0.8,1,1,2,2,2,25,20,25,0,1.5,0,0.8,0,1.5,0,0.8,0,1,0,0.8,0,0.6,,Small,,,1,1,1,,,0.1625,0.325
Spear_Throw,Spear_Throw,1,,,,Heavy,Thrust,,,,,false,0.65,1,1,4,4,4,35,30,35,0,5.5,0,0.8,0,5.5,0,0.8,0,4,0,0.8,0,1.2,,Small,,,0.8,1,1,,,0.1625,0.325
Spear_Throw_Arc,Spear_Throw,1,,,,Heavy,Thrust,,AI_Naga_AncientGuardian_Arc_StatusEffect,true,,false,0.3,1,1,4,4,4,35,30,35,0,5.5,0,0.8,0,5.5,0,0.8,0,4,0,0.8,0,0,,Small,,,0.8,1,1,,,0.1625,0.325
Arcane_Bomb,AncientMagic,1,1,,,Magic,Arcane,,,,,false,1,1,1,4,4,4,35,30,35,0,5.5,0,0.8,0,5.5,0,0.8,0,5.5,0,0.8,0,3,,Small,,,2,1,1,,true,0.1625,0.325
Arcane_Wave,AncientMagic,1,,,,Magic,Arcane,,AI_Snare_4sec,,,false,0.4,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,Small,,,0.6,1,0,,,0.1625,0.325
Arcane_Bolt,AncientMagic,1,,,,Magic,Arcane,,,,,false,0.25,1,1,0,0,0,15,10,15,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0.6,,Small,,,0.5,1,0,,,0.1625,0.325
Arcane_Snare,AncientMagic,,,,,Magic,Arcane,,AI_Root_4sec,true,,false,0.2,1,1,1,1,1,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,Small,,,1,1,0,,,0.1625,0.325
Arcane_Arc,AncientMagic,1,,,,Magic,Arcane,,,,,false,0,1,1,1,1,1,15,10,15,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0,,Small,,,0,1,0,,,0.1625,0.325
Dash,ClubSpriggan,,,,,Heavy,Strike,,,,,false,0.5,1,1,2,2,2,25,20,25,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.4,,Small,,,1.3,1,1,,,0.1625,0.325
Tail,ClubSpriggan,1,,,,Heavy,Strike,,,,,false,0.6,1,1,4,4,4,35,30,35,0,5.5,0,0.8,0,5.5,0,0.8,0,4,0,0.8,0,1.2,,Small,,,1.1,1,1,,,0.1625,0.325
Arcane_Pool_Bump,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0,1,1,0,0,0,5,5,5,0,2,0,0.8,0,2,0,0.8,0,2,0,0.8,0,0,,,,,0,,0,,,0.1625,0.325
Fall,Fall,,1,1,Bullet,,Falling,,,,,,1,,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,,,,0.1625,0.325
