DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_2H_Slash_L,Sword,0,0,,Bullet,Light,Slash,,,,0,0.4,1,1,1,1,1,15,10,20,0,1.5,0,0.8,0,0.25,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_2H_Slash_R,Sword,0,0,,Bullet,Light,Slash,,,,0,0.4,1,1,1,1,1,15,10,20,0,1.5,0,0.8,0,0.25,0,0.8,0,0,0,0.8,0,0.15,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_2H_Combo_01,Sword,0,0,,Bullet,Light,Slash,,,,0,0.35,1,1,1,1,1,10,5,0,0,0.8,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.2,1,,,0,0.1625,0.325
Attack_2H_Combo_01_Finisher,Sword,0,0,,Bullet,Heavy,Slash,,AI_Bleed_9,TRUE,0,0.4,1,1,2,2,2,20,15,0,0,1.6,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.3,1,,,0,0.1625,0.325
Attack_2H_Overhead_Leap,Sword,0,0,,Bullet,Heavy,Slash,,,,0,0.85,1,1,3,2,3,25,20,0,0,2.4,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,3,1.1,1,,,0,0.1625,0.325
Attack_Charge,Sword,0,0,,Bullet,Light,Thrust,,,,0,0.25,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0,1,,,0,0.1625,0.325
Attack_Charge_Body,Sword,0,0,,Bullet,Light,Strike,,,,0,0.1,1,1,2,1,2,20,15,0,1,1.5,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.2,1,,,0,0.1625,0.325
Attack_Charge_Finisher,Sword,0,0,,Bullet,Heavy,Thrust,,,,0,0.65,1,1,3,2,3,25,20,0,0,3,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,3,0.8,1,,,0,0.1625,0.325
Attack_Overhead_Slam,Sword,0,0,,Bullet,Heavy,Strike,,,,0,0.8,1,1,5,3,5,40,35,0,0,1.4,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,5,1,1,,,0,0.1625,0.325
Attack_Reverse_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,0,0.4,1,1,2,2,2,20,15,0,0,1.2,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.33,1,,,0,0.1625,0.325
Attack_Whirlwind,Sword,0,0,,Bullet,Light,Slash,,,,0,0.25,1,1,0,0,0,0,0,0,0,0.6,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325
Attack_Whirlwind_End,Sword,0,0,,Bullet,Heavy,Slash,,,,0,0.35,1,1,2,1,2,20,15,0,0,1.35,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.2,1,,,0,0.1625,0.325
Consume_Meatbag,Unarmed,1,1,,,Magic,Arcane,,AI_Upyr_Consuming_Meatbag,,0,0.1,0.1,0.1,81,81,81,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325
Spell_Thrall_Shield,Sword,0,0,,,Magic,Arcane,,,,FALSE,0.2,1,1,4,4,4,35,30,35,0,3,0.5,0.8,0,0,0,0.8,0,3,0.5,0.8,0,2,,2.2,0,4,0.5,2,,,1,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,,Bullet,Magic,Arcane,,,,0,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325
