DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Bite,Unarmed,0,0,Bullet,Light,Thrust,,AI_Werebear_Disease,,false,0.4,1,1,3,3,3,25,15,25,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.2,,0,0,1,0.6,1,,,1,0.1625,0.325
Attack_Swipe,Unarmed,0,0,Bullet,Heavy,Slash,,,,false,0.35,1,1,0,0,0,20,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_Uppercut,Unarmed,0,0,Bullet,Heavy,Slash,,,,false,0.5,1,1,3,3,3,30,10,10,0,1.5,0,0.8,0,0,0,1,0,1.5,0,0.8,0,0.2,,0,0,1,0.8,1,,,1,0.1625,0.325
Attack_Frenzy1,Unarmed,0,0,Bullet,Heavy,Slash,,,,false,0.4,1,1,1,3,3,12,20,25,0,0.75,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.15,,0,0,1,0.3,1,,,1,0.1625,0.325
Attack_Frenzy2,Unarmed,0,0,Bullet,Heavy,Slash,,,,false,0.4,1,1,2,3,3,18,20,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.15,,0,0,1,0.3,1,,,1,0.1625,0.325
Attack_Frenzy3,Unarmed,0,0,Bullet,Heavy,Slash,,,,false,0.3,1,1,3,3,3,25,20,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.15,,0,0,1,0.8,1,,,1,0.1625,0.325
Attack_Roar,Unarmed,0,0,Bullet,Heavy,Thrust,,,,false,0.8,1,1,4,4,4,45,40,45,0,5.5,1,0.8,0,0,0,0.8,0,3,0,0.8,0,0.4,,1,0,1,1,1,,,1,0.1625,0.325
Attack_Overhead_Slam_Close,Unarmed,0,0,Bullet,Heavy,Thrust,,,,false,0,1,1,3,2,2,25,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,1,0,1,0.6,1,,,1,0.1625,0.325
Attack_Overhead_Slam_Far,Unarmed,0,0,Bullet,Magic,Strike,,,TRUE,false,0.3,1,1,0,2,2,10,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,0,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325
