DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Damned_Unarmed_Kick,Unarmed,0,0,,Bullet,Light,Strike,,,,,,,,false,0.25,1,1,0,0,0,20,15,20,0,0.75,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,2,0.1,1,1,0.1625,0.325
Damned_2H_Melee_Primary,Axe,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,false,0.5,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,2,0.2,1,0,0.1625,0.325
Damned_2H_Melee_Spear,Spear,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.5,1,1,0,0,0,20,15,20,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,2,0.1,1,1,0.1625,0.325
Damned_2H_Melee_Spear_Heavy,Spear,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.2,1,1,0,1,0,30,18,30,0,2,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1,,1,Small,Small,Small,3,0.9,1,1,0.1625,0.325
Damned_2H_Melee_Spear_Heavy_Bleed,Spear,0,0,,Bullet,Heavy,Thrust,,,,,AI_Bleed_9,true,Deflect_Default,false,0.9,1,1,0,1,0,30,16,30,0,2,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1,,1,Small,Small,Small,3,0.8,1,1,0.1625,0.325
Damned_2H_Melee_Alternate,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,false,0.5,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,0,0.1625,0.325
Damned_2H_Melee_Heavy,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,false,1,1,1,3,3,3,20,30,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,4,0.99,1,1,0.1625,0.325
Dynasty_Spearman_Flying_Kick,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,,,,false,0.7,1,1,1,2,1,14,20,14,0,1.2,0,0.8,0,0,0,0.8,0,1.3,0,0.8,0,1,,0,Small,Small,Small,3,1.2,1,1,0.1625,0.325
Dynasty_Spearman_Spinning_Rising_Combo,Spear,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.35,1,1,0,1,0,13,13,13,0,1,0,0.8,0,0,0,0.8,0,1.1,0,0.8,0,0.8,,1,Small,Small,Small,3,0.35,1,0.5,0.1625,0.325
Dynasty_Spearman_Spinning_Rising_End,Spear,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.5,1,1,2,2,2,26,24,26,0,1.3,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,1.2,,1,Small,Small,Small,4,0.6,1,1,0.1625,0.325
Dynasty_Spearman_Light_Stab,Spear,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.36,1,1,0,0,0,23,20,23,0,1.15,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,1.2,,1,Small,Small,Small,2,0.6,1,1,0.1625,0.325
Dynasty_Spearman_Heavy_Stab,Spear,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.53,1,1,0,1,0,23,17,23,0,1.4,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,1.2,,1,Small,Small,Small,3,0.6,1,1,0.1625,0.325
Dynasty_Spearman_Light_Swipe,Spear,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.42,1,1,0,1,0,23,13,23,0,1.25,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,1.2,,1,Small,Small,Small,2,0.6,1,1,0.1625,0.325
Dynasty_Spearman_Heavy_Swipe,Spear,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.42,1,1,1,1,1,14,19,14,0,1.45,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,1.2,,1,Small,Small,Small,3,0.6,1,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,0,0.1625,0.325
Deflect_Default,Unarmed,1,0,,,,Deflect,,,,,,,,false,0,0,1,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,Small,Small,Small,0,0.45,1,1,0.1625,0.325
