DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Unblockable,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge,EnableSharedDamage,MaxAllowedDamageShareCount
BlightedSwipe,Unarmed,0,0,,Bullet,Light,Slash,false,,AI_Typhon_BlightedBlood,TRUE,,false,0.45,1,1,0,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.7,1,,,0,0.1625,0.325,,
Heavy_BlightedSwipe,Unarmed,0,0,,Bullet,Heavy,Slash,false,,AI_Typhon_BlightedBlood,1,,false,0.7,1,1,5,3,3,30,25,30,0,1.4,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0,1,2.1,1,,,0,0.1625,0.325,,
Scent_Of_Blood,Unarmed,0,0,,Bullet,Heavy,Strike,true,,AI_Typhon_BlightedBlood,1,,false,0.75,1,1,2,3,3,30,25,30,0,0.2,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0,1,1,1,,,0,0.1625,0.325,,
BlightedBite,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,AI_Typhon_BlightedBlood,1,,false,0.8,1,1,2,2,2,20,25,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.4,,1,0,1,1.5,1,,,1,0.1625,0.325,,
Circle_Slash,Unarmed,0,0,,Bullet,Heavy,Slash,false,,AI_Typhon_BlightedBlood,1,,false,0.33,1,1,0,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,1,0,1,0.6,1,,,1,0.1625,0.325,,
Feast_Initial,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,,,,false,0.12,1,1,0,3,3,30,25,30,0,0.5,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,1,0,1,0.8,1,,,0,0.1625,0.325,,
Feast_Final,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,,1,,false,0.12,1,1,0,3,3,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,1,0,1,0.8,1,,,0,0.1625,0.325,,
Frenzy_Swipes_Light,Unarmed,0,0,,Bullet,Light,Slash,false,,AI_Typhon_BlightedBlood,1,,false,0.3,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.2,1,,,1,0.1625,0.325,,
Frenzy_Swipes_Heavy,Unarmed,0,0,,Bullet,Heavy,Slash,false,,AI_Rend,1,,false,0.7,1,1,0,3,3,30,25,30,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325,,
Bloody_Howl,Unarmed,0,0,,Bullet,Magic,Nature,false,,AI_Typhon_BlightedBlood,1,,false,0.1,1,1,0,2,2,15,10,15,0,0.5,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,1,0,1,0.1,1,,,1,0.1625,0.325,,
Hungry_Howl,Unarmed,1,0,,Bullet,Heavy,Slash,true,,,0,,false,0,1,1,5,0,0,10,10,10,0,0,0,0,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,10,1,10,1,,,0,0.1625,0.325,,
Hungry_Howl_Finisher,Unarmed,1,0,,Bullet,Heavy,Slash,true,,,0,,false,99.99,1,1,0,0,0,10,10,10,0,0,0,0,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,10,1,10,1,,,0,0.1625,0.325,,
Buffing_Howl,Unarmed,1,1,,Bullet,Light,Slash,false,,AI_Typhon_AddKiller,FALSE,,false,0,1,1,0,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,,
Charge_Transition,Unarmed,1,0,,Bullet,Heavy,Slash,false,,,,,false,0,1,1,4,4,4,30,25,30,0,4,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0,1,0.8,1,,,0,0.1625,0.325,,
Grasping_Thorns_Impact,Unarmed,1,0,true,Bullet,Heavy,Nature,false,,AI_Typhon_ThornPrison_FirstRoot,0,,false,0.25,1,1,0,2,2,20,25,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.4,,1,0,1,0.8,1,,,1,0.1625,0.325,,
Grasping_Thorns_Tick,Unarmed,0,1,,Bullet,Light,Nature,false,,,,,false,0.18,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,,
Grasping_Thorns_PlayerDispersion,Unarmed,1,0,,Bullet,Heavy,Slash,false,,,,,false,0,0,0,3,3,3,10,25,30,0,6,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0,1,0.8,1,,,0,0.1625,0.325,,
FromTheShadow_AOE,Unarmed,1,0,,Bullet,Heavy,Thrust,false,,,1,,false,0.5,1,1,2,2,2,20,25,20,0,0,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.4,,1,0,1,1,1,,,1,0.1625,0.325,true,10
RisingThorns_AOE,Unarmed,0,0,,Bullet,Light,Nature,true,,AI_Typhon_BlightedBlood,1,,false,0.6,1,1,0,2,2,20,25,20,0,0,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.4,,1,0,1,0.6,1,,,1,0.1625,0.325,,
Ground_Slam,Unarmed,0,0,,Bullet,Heavy,Strike,true,,AI_Typhon_GroundSlam_Immunity,TRUE,,false,0.5,1,1,1,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,1,1,,,0,0.1625,0.325,,
VisceralClaw_Finisher,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,AI_Typhon_BlightedBlood,1,,false,0.6,1,1,4,3,3,30,25,30,0,4,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0,1,2.5,1,,,0,0.1625,0.325,,
VisceralClaw_FinisherTEST,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,,1,,false,1,1,1,0,3,3,30,25,30,0,0,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0,1,0.8,1,,,0,0.1625,0.325,,
Hungry_Howl_AirbornFinisher,Unarmed,1,0,,Bullet,Heavy,Slash,true,,,,,false,99.99,1,1,0,0,0,10,10,10,0,0,0,0,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,10,1,10,1,,,0,0.1625,0.325,,
