DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Log_Swing_Attack,ClubSpriggan,0,0,,Bullet,,Strike,,,,,,Deflect_Default,false,0.45,0.45,1,0,0,0,0,0,30,0,1.5,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,0.5,1,1,0.1625,0.325
Log_Overhead_Slam_Attack,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,,,Deflect_Default,false,1,1,1,3,2,4,35,8,30,0,1.5,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,1,1,1,0.1625,0.325
Log_Swing_Combo,ClubSpriggan,0,0,,Bullet,,Strike,,,,,,Deflect_Default,false,0.24,0.24,1,0,0,3,0,8,30,0,1.5,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,0.3,1,1,0.1625,0.325
Log_Swing_Combo_Finisher,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,,,Deflect_Default,false,0.3,0.3,1,1,0,3,15,8,30,0,1.5,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,1,1,1,0.1625,0.325
Log_Jumping_Slam,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,,,Deflect_Default,false,0.7,0.7,1,2,1,4,15,8,30,0,1.5,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,1.2,1,1,0.1625,0.325
Log_Jumping_Slam_NoDamageAoE,ClubSpriggan,0,0,,Bullet,,,,,,,,Deflect_Default,false,0,0,1,2,0,4,15,8,30,0,1.5,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,1.2,1,1,0.1625,0.325
Log_Vines_Of_Destruction_Attack,ClubSpriggan,0,0,,Bullet,,Thrust,,,,,,Deflect_Default,false,0.3,0.3,1,2,0,3,15,8,30,0,2,0,0.8,1,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,0.7,1,1,0.1625,0.325
Log_Vines_Of_Destruction_Swipe,ClubSpriggan,0,0,,Bullet,,Strike,,,,,,Deflect_Default,false,0.2,0.2,1,1,0,3,15,8,30,0,1,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,0.4,1,1,0.1625,0.325
Deflect_Default,Unarmed,1,0,,,,Deflect,,,,,,Deflect_Default,,0,0,,2,2,,0,0,,0,1,0,0.8,0,0,0,0,,,,,0,0,,0,Small,,0,0.45,1,1,0.1625,0.325
Attack_Structure,ClubSpriggan,0,0,,Bullet,,Siege,,,,,,Deflect_Default,false,2,2,1,3,2,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,2,1,1,0.1625,0.325
Unarmed,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,,,Deflect_Default,false,0.65,0.65,1,3,3,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,1.1,1,1,0.1625,0.325
