DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CritTargetCameraShakeID,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,DamageGuildAndGroup
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,0,1,1,1,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,1,,,1,
Elite_GRIT,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,,0,0,1,1,1,1,20,15,20,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,0,1,1,1,
Attack_Elite_Double_Slash_1st_Hit,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.8,1,1,3,2,3,30,20,30,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,2,1.2,1,1,
Attack_Elite_Double_Slash_2nd_Hit,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.8,1,1,3,3,3,30,35,30,0,1.2,0,0.8,0,0.65,0,0.8,0,1.2,0,0.8,0,0,,5,Small,Small,2,1,1,1,
Attack_Elite_Charge,Sword,0,0,,Bullet,Light,Strike,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.4,1,1,4,4,4,35,40,35,0,2.5,0,0.8,0,0.65,0,0.8,0,2.5,0,0.8,0,0,,5,Small,Small,3,0.5,1,1,
Attack_Elite_Charge_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.45,1,1,3,3,3,30,30,30,0,0.85,0,0.8,0,0.65,0,0.8,0,0.85,0,0.8,0,0,,5,Small,Small,5,1,1,1,
Attack_Elite_Flurry,Sword,0,0,,Bullet,Light,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.45,1,1,2,2,2,20,20,20,0,0.4,0,0.8,0,0.5,0,0.8,0,0.4,0,0.8,0,0,,5,Small,Small,2,0.7,1,1,
Attack_Elite_Swipe_R_L_1st_Hit,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.7,1,1,2,2,2,20,25,20,0,0.65,0,0.8,0,0.5,0,0.8,0,0.65,0,0.8,0,0,,5,Small,Small,2,0.7,1,1,
Attack_Elite_Swipe_R_L_2nd_Hit,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,2,2,2,20,20,20,0,0.55,0,0.8,0,0.5,0,0.8,0,0.55,0,0.8,0,0,,5,Small,Small,2,0.6,1,1,
