DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Punch,Unarmed,0,0,Bullet,Light,Strike,,,,false,0.3,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325
Punch_Heavy,Unarmed,0,0,Bullet,Heavy,Strike,,,,true,0.45,1,1,2,2,2,20,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325
Headbutt,Unarmed,0,0,Bullet,Heavy,Strike,,,,false,0.5,1,1,3,3,3,30,10,10,0,1.5,0,0.8,0,0,0,1,0,1.5,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325
Slam,Unarmed,0,0,Bullet,Heavy,Strike,,,,true,0.7,1,1,3,3,3,25,20,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.15,,0,0,1,0.7,1,,,0,0.1625,0.325
Gore_Back,Unarmed,0,0,Bullet,Heavy,Thrust,,,,false,0.8,1,1,4,4,4,45,40,45,0,5.5,1,0.8,0,0,0,0.8,0,3,0,0.8,0,0.4,,1,0,1,1,1,,,1,0.1625,0.325
Charge,Unarmed,0,0,Bullet,Heavy,Thrust,,,,false,1,1,1,2,2,2,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,1,0,1,0.6,1,,,1,0.1625,0.325
Root_Spikes,Unarmed,0,0,Bullet,Magic,Thrust,AI_NatureDMG_50,,TRUE,false,0.3,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325
Thorn_Explode_Front,Unarmed,0,0,Bullet,Magic,Nature,,,,false,0.4,1,1,2,2,2,24,10,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325
Thorn_Explode_Back,Unarmed,0,0,Bullet,Magic,Nature,,,,false,0.6,1,1,3,3,3,30,10,15,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325
