DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,DeflectDamageID,Affixes,StatusEffect,EffectOnlyOnDamage,Unblockable,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,AddDmg,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement
Attack_Swipe_R,GhostMelee,0,0,,Bullet,Light,Arcane,,,,,,FALSE,0.35,1,1,0,0,0,15,10,15,0,0.7,0,0.8,0,0,0,0.8,0,0.7,0,0.8,0.3,,0,0,0,1,0.2,1,,,0
Attack_Flurry,GhostMelee,0,0,,Bullet,Light,Arcane,,,,,,FALSE,0.25,1,1,0,0,0,15,10,15,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0.15,,0,0,0,1,0.15,1,,,0
Attack_Overhead,GhostMelee,0,0,,Bullet,Heavy,Arcane,,,,,,FALSE,0.8,1,1,0,0,0,15,10,15,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0.4,,1,0,0,1,0.4,1,,,1
Spell_Shackled_Curse_Shot,GhostSpell_Shackled,0,0,true,Bullet,Magic,Arcane,,,ShackledGhost_Doom,TRUE,,FALSE,0.4,1,1,1,1,1,15,10,15,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0.4,,1.8,0,0,1,0.4,1,,,0
Spell_Shackled_No_Escape,GhostSpell_Curse,1,0,true,Bullet,Magic,Arcane,,,ShackledGhost_Doom,,TRUE,FALSE,0,1,1,1,1,1,15,10,15,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,1,,1.8,0,0,1,1,1,,,0
Spell_Shackled_Flight,GhostMelee,0,0,,Bullet,Magic,Arcane,,,,,,FALSE,0.7,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0.5,,10,0,0,1,10,1,,,0
Reaction_Breakout_Attack,GhostMelee,0,0,,Bullet,Heavy,Arcane,,,,,,FALSE,0.7,1,1,1,1,1,15,10,15,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0.6,,10,1,0,1,0.6,1,,,1
Attack_Thrust,GhostMelee,0,0,,Bullet,Magic,Arcane,,,,,,FALSE,1.3,1,,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0.35,,1,0,0,1,0.35,1,,,1
Deflect_Default,GhostMelee,1,0,,,,Deflect,,,,,,FALSE,0,0,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,,0,0,,0,1,1,,,1
Fall,Fall,1,1,,Bullet,,Falling,,,,,,FALSE,1,1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,,,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,FALSE,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,1,,,,,1
