DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Swipe,Unarmed,0,0,,Bullet,Light,Slash,,,,0,0.3,1,1,0,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0.15,1,0.15,1,,,0,0.1625,0.325
Feather_Shot,HercyneCorvid_Feather,0,0,true,Bullet,Light,Thrust,,,,0,0.3,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.15,,0,0.15,1,0.15,1,,,0,0.1625,0.325
Wave_Pushback,Unarmed,0,0,true,Bullet,Heavy,Thrust,,,,0,0.4,1,1,3,3,3,25,20,25,0,5,0,0.9,0,2,0,0.8,0,5,0,0.8,0,0.4,,1,0.2,1,0,1,,,1,0.1625,0.325
Lightning_Ball,Unarmed,0,0,true,Bullet,Heavy,Lightning,,AI_Wereraven_Root_2sec,,0,0.4,1,1,3,3,3,25,20,25,0,5,0,0.9,0,2,0,0.8,0,5,0,0.8,0,0.4,,1,0.2,1,0,1,,,1,0.1625,0.325
Dive_Bomb,Unarmed,0,0,,Bullet,Heavy,Thrust,,,,0,0.9,1,1,4,4,4,40,30,40,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,1,0.5,1,0.9,1,,,1,0.1625,0.325
Swoop,Unarmed,0,0,,Bullet,Heavy,Thrust,,,,0,0.9,1,1,4,4,4,40,30,40,0,4,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0,,1,0.5,1,0.9,1,,,1,0.1625,0.325
Root_Spikes,Unarmed,0,0,,Bullet,Magic,Thrust,AI_NatureDMG_50,AI_Hercyne_Bleed,TRUE,0,0.1,1,1,4,4,4,40,30,40,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,1,0.1,1,0.9,1,,,1,0.1625,0.325
Lightning_Cast,Unarmed,0,0,true,Bullet,Magic,Lightning,,AI_Wereraven_Shock,TRUE,FALSE,0.65,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,2.2,0.15,1,0.8,1,,,1,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,,Bullet,Magic,Arcane,,,,0,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,1,1,,,,1,0.1625,0.325
