DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,Unblockable,SurfaceImpactEffect,AttackType,DamageType,IsRanged,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,AttackDealsNoDurability,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Swipe_R_L,Unarmed,1,0,0,Bullet,Heavy,Strike,,AI_Torso_Boss_Attack_Rend,true,Deflect_Default,false,,1.2,1,1,5,5,5,30,30,30,-5,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325
Swipe_L_R,Unarmed,1,0,0,Bullet,Heavy,Strike,,AI_Torso_Boss_Attack_Rend,true,Deflect_Default,false,,1.2,1,1,5,5,5,30,30,30,5,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325
Swipe_Mid,Unarmed,1,0,0,Bullet,Heavy,Strike,,AI_Torso_Boss_Attack_Rend,true,Deflect_Default,false,,1.2,1,1,5,5,5,30,30,30,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325
Chest_Impact,Unarmed,1,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,,1,1,1,3,3,3,30,30,30,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325
Punch,Unarmed,0,0,0,Bullet,Light,Strike,,AI_Torso_Boss_Attack_Rend,true,Deflect_Default,false,,1,1,1,5,5,5,10,5,10,0,4,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325
Slap,Unarmed,0,0,0,Bullet,Light,Strike,,AI_Torso_Boss_Attack_Rend,true,Deflect_Default,false,,1.4,1,1,5,5,5,30,25,30,-5,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325
Arcane_Conduit,Unarmed,1,0,0,Bullet,Light,Arcane,,,,Deflect_Default,false,,1.2,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,,0.1625,0.325
Eye_Beam,Unarmed,1,1,1,Bullet,Magic,Arcane,,AI_Torso_Boss_Laser_Rend_Apply,false,Deflect_Default,false,true,0.1115,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,16,1,true,0.1625,0.325
Final_Eye_Beam,Unarmed,1,1,1,Bullet,Magic,Arcane,,"AI_Torso_Boss_FinalLaser,AI_Torso_Boss_Laser_Rend_Apply",false,Deflect_Default,false,true,0,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,1,0.3,0.3,1,Small,Small,3,1.5,1,16,1,true,0.1625,0.325
Arcane_Conduit_Damage_Boss,Unarmed,1,0,0,Bullet,Light,Strike,,AI_Torso_Boss_SelfStun,false,Deflect_Default,false,,0.1,0.1,1,8,8,8,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,0,1,true,0.1625,0.325
