DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
FinalBlessing,Axe,1,0,,Bullet,Magic,Corruption,,,false,Deflect_Default,false,0.35,1,1,0,1,1,25,20,25,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0.3,0.3,0,Small,Small,Small,3,1.2,1,0,0.1625,0.325
Attack_SwipeL,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.5,1,,0,2,1,15,21,30,0,1.9,0,0.75,0,0,0,0.75,0,1.9,0,0.75,0,0,0.3,5,Small,Small,Small,3,0.65,1,1,0.1625,0.325
Attack_HolySmite,Sword,0,0,,Bullet,Heavy,Slash,,AI_Lost_Monarch_HolySmite_Effect,true,Deflect_Default,false,0.01,1,,2,2,2,22,26,30,0,2.3,0,0.7,0,0,0,0.7,0,2.3,0,0.7,0,0,0.3,5,Large,Large,Small,3,1.8,1,1,0.1625,0.325
Attack_SwipeR,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.5,1,,0,2,1,15,21,35,0,2,0,0.75,0,0,0,0.75,0,2,0,0.75,0,0,0.3,5,Small,Small,Small,3,0.65,1,1,0.1625,0.325
Attack_SpinSlashR,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.9,1,,2,2,2,22,26,30,0,2.35,0,0.7,0,0,0,0.7,0,2.35,0,0.7,0,0,0.3,5,Small,Small,Small,3,0.85,1,1,0.1625,0.325
Attack_UpperSlash,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.75,1,,4,4,4,40,37,20,0,4,0.5,0.8,0,4,0.5,0.8,0,1.5,0,0.8,0,0,0.3,5,Large,Large,Small,3,1.35,1,1,0.1625,0.325
Attack_UpperSlash_Combo,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.55,1,,3,3,3,35,37,20,0,3,0.5,0.8,0,4,0.5,0.8,0,1.5,0,0.8,0,0,0.3,5,Large,Large,Small,3,1.35,1,1,0.1625,0.325
Attack_ClearingSweep,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.5,1,,4,3,4,25,30,25,0,2.4,0,0.7,0,0,0,0.75,0,2.4,0,0.7,0,0,0.3,5,Small,Small,Small,3,0.9,1,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,0,0.1625,0.325
