DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Ogre_Ball,Unarmed,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.4,1,,1,1,1,13,16,,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1.5,,1.5,,Small,Small,Small,3,0,1,1,0.1625,0.325
Minion_Left_Hand_Ground_Pound,Unarmed,0,0,Bullet,Light,Strike,,,,Deflect_Default,false,0.6,1,,0,0,0,30,30,,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,,Small,Small,Small,3,1,1,1,0.1625,0.325
Overhead_Slam,Unarmed,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,1,,1,1,1,15,18,,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,,Small,Small,Small,3,0.8,1,1,0.1625,0.325
Minion_Swipe_Left,Unarmed,0,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.4,1,,0,0,0,20,20,,0.7,1.4,0,0.8,0,0,0,0.8,0.7,1.4,0,0.8,0,1,,1,,Small,Small,Small,3,0.35,1,1,0.1625,0.325
Minion_Swipe_Left_Combo,Unarmed,0,0,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.6,1,,0,0,0,11,14,,1.5,1,0,0.8,0,0,0,0.8,1.5,1,0,0.8,0,1,,1,,Small,Small,Small,3,0.2,1,1,0.1625,0.325
Minion_Swipe_Right,Unarmed,0,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.4,1,,0,0,0,20,20,,-0.8,1.4,0,0.8,0,0,0,0.8,-0.8,1.4,0,0.8,0,1,,1,,Small,Small,Small,3,0.4,1,1,0.1625,0.325
Minion_Swipe_Right_Combo,Unarmed,0,0,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.4,1,,0,0,0,11,14,,0.7,1.5,0,0.8,0,0,0,0.8,0.7,1.5,0,0.8,0,1,,1,,Small,Small,Small,3,0.25,1,1,0.1625,0.325
Left_Hand_Ground_Pound,Unarmed,0,0,Bullet,Light,Strike,,,,Deflect_Default,false,0.6,1,,0,0,0,30,30,,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,,Small,Small,Small,3,1,1,1,0.1625,0.325
Swipe_Left,Unarmed,0,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.4,1,,0,0,0,20,20,,0.7,1.4,0,0.8,0,0,0,0.8,0.7,1.4,0,0.8,0,1,,1,,Small,Small,Small,3,0.35,1,1,0.1625,0.325
Swipe_Left_Combo,Unarmed,0,0,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.6,1,,0,0,0,11,14,,1.5,1,0,0.8,0,0,0,0.8,1.5,1,0,0.8,0,1,,1,,Small,Small,Small,3,0.2,1,1,0.1625,0.325
Swipe_Right,Unarmed,0,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.4,1,,0,0,0,20,20,,-0.8,1.4,0,0.8,0,0,0,0.8,-0.8,1.4,0,0.8,0,1,,1,,Small,Small,Small,3,0.4,1,1,0.1625,0.325
Swipe_Right_Combo,Unarmed,0,0,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.4,1,,0,0,0,11,14,,0.7,1.5,0,0.8,0,0,0,0.8,0.7,1.5,0,0.8,0,1,,1,,Small,Small,Small,3,0.25,1,1,0.1625,0.325
Tail_Swipe_Windup,Unarmed,0,0,Bullet,Light,Strike,,,,Deflect_Default,false,0.2,1,,0,0,0,20,25,,1.6,2,0,0.8,0,0,0,0.8,1.6,2,0,0.8,0,1,,1,,Small,Small,Small,3,0.3,1,1,0.1625,0.325
Tail_Swipe,Unarmed,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.2,1,,2,2,2,20,25,,-2,2,0,0.8,0,0,0,0.8,-2,2,0,0.8,0,1,,1,,Small,Small,Small,3,0.4,1,1,0.1625,0.325
Shoulder_Charge,Unarmed,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.4,1,,1,1,1,16,13,,0.8,2.2,0,0.8,0,0,0,0.8,0.8,2.2,0,0.8,0,1,,1,,Small,Small,Small,3,0.7,1,1,0.1625,0.325
Attack_Structure,Unarmed,0,0,Bullet,,Siege,,,,Deflect_Default,false,1,1,,3,2,3,30,320,,-1,2,0,0.8,0,0,0,0.8,-1,2,0,0.8,0,1,,1,,Small,Small,Small,3,1,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,1,1,,2,2,,0,0,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,0,0,1,,0.1625,0.325
