DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Spell_Flame_Vacuum,Sword,0,0,,Bullet,Magic,Fire,,,,,Deflect_Default,false,0,1,0,3,3,3,34,30,34,0,-1,0,0.6,0,-1,0,0.7,0,-1,0,0.7,0,0,,0,Large,Large,Large,4,0,1,0,true,0.1625,0.325
Spell_Incinerate,Sword,0,0,,Bullet,Magic,Fire,AfflictionErosion,17,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,1.25,1,0.8,1,1,1,15,10,15,0,3,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.65,1,0,,0.1625,0.325
Spell_Fireball,Sword,0,0,1,Bullet,Magic,Fire,AfflictionErosion,8,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,0.5,1,1.2,2,2,2,25,20,25,0,1.5,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,0.8,1,0,,0.1625,0.325
Spell_Lava_Flow,Sword,0,0,,Bullet,DoT,Fire,AfflictionErosion,3,,,Deflect_Default,false,1.1,1,0.8,2,2,2,25,20,25,0,3,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.15,1,0,,0.1625,0.325
Basic_Projectile,Sword,0,0,1,Bullet,Magic,Fire,AfflictionErosion,3,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,0.45,1,0.45,0,0,0,10,10,10,0,0,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,0.6,1,0,,0.1625,0.325
Roving_Meteor_Shower,Sword,0,1,,Bullet,Magic,Fire,AfflictionErosion,3,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,0.3,1,0.8,0,0,0,10,10,10,0,0,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,,Large,Large,3,0.4,1,0,,0.1625,0.325
Kindling_Fire,Sword,0,1,,Bullet,DoT,Fire,AfflictionErosion,3,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,0.33,1,1,0,0,0,10,10,10,0,0,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,0.45,1,0,,0.1625,0.325
Spell_Living_Bomb,Sword,1,0,,Bullet,Magic,Fire,,,,,Deflect_Default,false,1.25,1,2.5,4,4,4,40,48,40,0,6.5,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,2,1,0,,0.1625,0.325
Raging_Flame_Entities,Sword,1,1,,Bullet,Magic,Fire,,,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,1,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,0.9,1,0,,0.1625,0.325
Combustion,Sword,0,0,,Bullet,Magic,Fire,,,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,0.65,1,0.8,1,1,1,15,10,15,0,3,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1,1,0,,0.1625,0.325
Flamekeeper_Heavy_Swipe,Sword,0,0,,Bullet,Magic,Strike,AfflictionErosion,8,,true,Deflect_Default,false,0.45,1,0.45,0,0,0,10,10,10,0,0,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.65,1,0,,0.1625,0.325
Flamekeeper_Burnout,Sword,0,0,,Bullet,Magic,Fire,AfflictionErosion,3,AI_Catacombs_Flamekeeper_Boss_Burn,true,Deflect_Default,false,0.35,1,1.2,2,2,2,25,20,25,0,6.5,0,0.8,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.4,1,0,,0.1625,0.325
