DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,CameraShakeID,CritCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge,StaminaDmg
Slap,Unarmed,0,0,Bullet,Light,Strike,,,true,,false,0.35,1,1,0,0,0,10,15,10,0,0.5,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.15,1,Small,Small,1,0.1625,0.325,
Smash,Unarmed,0,0,Bullet,Heavy,Strike,,,true,,false,0.5,1,1,2,0,0,25,25,30,0,1,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.5,1,Small,Small,1,0.1625,0.325,
Rush,Unarmed,0,0,Bullet,Heavy,Strike,,,true,,false,0.8,1,1,3,3,3,35,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325,
Throw,Unarmed,0,0,Bullet,Heavy,Strike,,,true,,false,0.7,1,1,3,3,3,30,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325,
Deflect_Default,Unarmed,1,0,,,Standard,,,,,false,0,1,1,2,2,2,25,30,25,0,1,0,0.8,0,1,0,0.8,0,0,0,0.9,0.75,0.75,1,0,0,1,1,Large,Large,1,0.1625,0.325,
Fall,Fall,1,1,Bullet,,Falling,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,1,0,0,1,1,Large,Large,1,0.1625,0.325,
Spell_Thunder_Charger_Bolts,Unarmed,0,0,Bullet,Magic,Lightning,,,true,Deflect_Default,false,0.5,1,1,1,1,1,12,12,12,0.8,0,0,0.8,0.8,0,0,0.8,0,0,0,0.8,0,0,0,0,0,1,1,Large,Large,1,0.1625,0.325,0
Thunder_Charger_Run,Unarmed,0,0,Bullet,Light,Lightning,,,true,,false,0.4,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.15,1,Small,Small,1,0.1625,0.325,
Smash_Fire,Unarmed,0,0,Bullet,Heavy,Fire,,AI_Burn_9,true,,false,0.3,1,1,3,0,0,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.5,1,Small,Small,1,0.1625,0.325,
Blizzard_Bomb_Explosion,Unarmed,0,0,Bullet,Magic,Ice,,AI_Snare_4sec,true,,false,0.35,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.15,1,Small,Small,1,0.1625,0.325,
Smash_Fire_Physical,Unarmed,0,0,Bullet,Heavy,Strike,,,true,,false,0.3,1,1,2,0,0,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.5,1,Small,Small,1,0.1625,0.325,
Throw_Small,Unarmed,0,0,Bullet,Heavy,Strike,,,true,,false,0.5,1,1,0,3,3,10,35,45,0,0,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325,
Attack_Leap,Unarmed,0,0,Bullet,Light,Strike,,,true,,false,0.35,1,1,1,0,0,10,15,10,0,0.5,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.15,1,Small,Small,1,0.1625,0.325,
