DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,StaggerDmgModifier,StaggerResistModifier,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_01_Bite,Bite_AI,0,0,Bullet,Light,Slash,,,,,false,0.2,1,1,0,0,0,20,15,20,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0.3,0,0,2,0.15,1,Small ,0,0.1625,0.325
Attack_01_Bite_Hard,Bite_AI,0,0,Bullet,Light,Slash,AI_CorruptionDMG_50,,,,false,0.2,1,1,0,0,0,20,15,20,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0.3,0,0,2,0.15,1,Small ,0,0.1625,0.325
Attack_02_Lunge,Bite_AI,0,0,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.6,1,1,3,3,3,30,25,30,2,1.5,0,0.8,2,1.5,0,0.8,0,0,0,0.8,0.9,1.6,0,1,0.8,1,Large,1,0.1625,0.325
Attack_02_Lunge_Hard,Bite_AI,0,0,Bullet,Heavy,Slash,AI_CorruptionDMG_50,,,Deflect_Default,false,0.6,1,1,3,3,3,30,25,30,2,1.5,0,0.8,2,1.5,0,0.8,0,0,0,0.8,0.9,1.6,0,1,0.8,1,Large,1,0.1625,0.325
Attack_01_Bite_Turn,Bite_AI,0,0,Bullet,Light,Slash,,,,,false,0.5,1,1,0,0,0,30,25,30,1.5,1.5,0,0.8,1.5,1.5,0,0.8,0,0,0,0.8,0.3,0,0,0,0.4,1,Small ,1,0.1625,0.325
Attack_01_Bite_Turn_Hard,Bite_AI,0,0,Bullet,Light,Slash,AI_CorruptionDMG_50,,,,false,0.5,1,1,0,0,0,30,25,30,1.5,1.5,0,0.8,1.5,1.5,0,0.8,0,0,0,0.8,0.3,0,0,0,0.4,1,Small ,1,0.1625,0.325
Attack_01_Bite_Frenzy,Bite_AI,0,0,Bullet,Light,Slash,,,,,false,0.6,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0.4,1,0,0,0.4,1,Small ,1,0.1625,0.325
Attack_01_Bite_Frenzy_Hard,Bite_AI,0,0,Bullet,Light,Slash,AI_CorruptionDMG_50,,,,false,0.6,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0.4,1,0,0,0.4,1,Small ,1,0.1625,0.325
Attack_03_Bite_Combo,Bite_AI,0,0,Bullet,Light,Slash,,,,,false,0.5,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0.3,0,0,0,0.4,1,Small ,1,0.1625,0.325
Attack_03_Bite_Combo_Hard,Bite_AI,0,0,Bullet,Light,Slash,AI_CorruptionDMG_50,,,,false,0.5,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0.3,0,0,0,0.4,1,Small ,1,0.1625,0.325
Attack_04_Triple_Bite,Bite_AI,0,0,Bullet,Heavy,Slash,,AI_Bleed_9,true,,false,0.6,1,1,3,3,3,30,25,30,2,1.5,0,0.8,2,1.5,0,0.8,0,0,0,0.8,0.9,1.6,0,1,0.4,1,Large,1,0.1625,0.325
Attack_Hamstring,Bite_AI,0,0,Bullet,Heavy,Slash,,AI_Weaken,true,Deflect_Default,false,0.7,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0.6,1.6,0,1,0.7,1,Small ,1,0.1625,0.325
Attack_Hamstring_Hard,Bite_AI,0,0,Bullet,Heavy,Slash,AI_CorruptionDMG_50,AI_Weaken,true,Deflect_Default,false,0.7,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0.6,1.6,0,1,0.7,1,Small ,1,0.1625,0.325
Howl,Bite_AI,0,0,Bullet,Heavy,Slash,,AI_Stun_2sec,,Deflect_Default,false,0,1,1,8,8,8,30,25,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,1.5,1.6,0,1,0.65,1,Small ,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Small,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,Small,1,0.1625,0.325
Deflect_Default,Unarmed,1,0,,,Standard,,,,,,0,0,0,2,2,2,0,0,0,0,1,0,0.8,0,1,0,0.8,0,0,0,0,0,0,0,0,1,1,,1,0.1625,0.325
