DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge,UseAttackerPosForReaction
Swipe_L,Unarmed,0,0,Bullet,Light,Strike,,,,false,0.45,1,1,2,2,2,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,
Swipe_R,Unarmed,0,0,Bullet,Light,Strike,,,,false,0.7,1,1,2,2,2,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.15,,0,0,1,0.7,1,,,0,0.1625,0.325,
Swipe_Combo,Unarmed,0,0,Bullet,Light,Thrust,,,,false,0.5,1,1,2,2,2,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.4,,1,0,1,0.6,1,,,1,0.1625,0.325,
Flurry,Unarmed,0,0,Bullet,Light,Thrust,,,,false,0.5,1,1,2,2,2,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.4,,1,0,1,0.6,1,,,1,0.1625,0.325,
Unleash_Memory_Archer,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.5,1,0,0,0,0,45,40,45,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,1,1,,,1,0.1625,0.325,
Unleash_Memory_Mage,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,1,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,1,0,1,0.6,1,,,1,0.1625,0.325,
Unleash_Memory_Soldier,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.5,1,1,1,1,1,15,10,15,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325,
Projectile,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.3,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325,
Confusion,Unarmed,0,1,Bullet,Light,Arcane,,AI_Stun_2sec,,false,0.3,1,1,5,5,5,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,
Consume_Meatbag,Unarmed,1,1,,Magic,Arcane,,AI_Upyr_Consuming_Meatbag,FALSE,false,0.1,0.1,0.1,0,0,0,15,10,15,0,10,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325,
Flagon_Explosion,Unarmed,1,1,,Magic,Arcane,,AI_Stun_2sec,,false,0,1,1,5,5,5,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325,
Scream,Unarmed,0,0,Bullet,Magic,Arcane,,AI_Rend,,false,1,1,1,3,3,3,30,30,30,0,2,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325,
Consume_Done,Unarmed,1,0,Bullet,Magic,Arcane,,,,false,0.2,0.2,0.2,0,0,0,25,25,25,0,5,0,0.8,0,5,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325,true
Consume_Player,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.5,0.5,0.5,4,4,4,25,25,25,0,5,0,0.8,0,5,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325,true
Reaction_Breakout_Attack,Unarmed,0,0,Bullet,Magic,Arcane,,,,false,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325,
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325,
