DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,BlockTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge,UseAttackerPosForReaction
Thrust,Spear,0,0,,Bullet,Light,Strike,,false,,false,Deflect_Default,true,0.2,1,1,1,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Upperslash,Spear,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,true,0.2,1,1,1,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Ground_Strike_Close,Spear,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,true,0.1,1,1,1,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Ground_Strike,Spear,0,0,,Bullet,Heavy,Strike,,false,,false,Deflect_Default,true,0.2,1,1,1,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Decimate_Jail,Spear,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,true,0.2,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Decimate_Jail_Prison,Spear,1,0,,Bullet,Light,Arcane,,true,,false,Deflect_Default,true,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,Small,Small,Small,1,0.15,1,0,0,0,0.1625,0.325,
Slash,Sword,0,0,,Bullet,Light,Slash,,false,,false,Deflect_Default,true,0.2,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Whirling_Slash,Sword,0,0,,Bullet,Light,Slash,,false,,false,Deflect_Default,true,0.2,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Tempest_Blade,Sword,0,0,,Bullet,Medium,Slash,,false,,false,Deflect_Default,true,0.2,1,1,1,1,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Tempest_Blade_Spin,Sword,0,0,,Bullet,Medium,Slash,,false,AI_PalatineSwordsman_Rend,false,Deflect_Default,true,0.3,1,1,2,1,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Archer_Shot,Bow,0,0,true,Bullet,Light,Strike,,false,,false,Deflect_Default,true,0.2,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Volley_Shot,Bow,0,0,true,Bullet,Light,Strike,,false,,false,Deflect_Default,true,0.2,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Stranded_Tether_Projectile,Bow,0,0,true,Bullet,Light,Strike,,false,AI_PalatineGuard_ComboTargeting,false,Deflect_Default,true,0.2,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Uppercut_Swipe,Sword,0,0,,Bullet,Heavy,Strike,,false,,false,Deflect_Default,true,0.2,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Lost_Bite,Sword,0,0,,Bullet,Heavy,Strike,,true,,true,Deflect_Default,true,0.2,1,1,4,0,0,30,30,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
Heroic_Rush,Shield,0,0,,Bullet,Heavy,Strike,,true,AI_PalatineShield_HeroicRush_Immunity,false,Deflect_Default,true,0.2,1,1,4,0,0,10,5,10,0,4,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,3,0.15,1,0,0,0,0.1625,0.325,
