DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,StaggerDmgModifier,StaggerResistModifier,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,StunBreakoutIncrement
Attack_01_Bite,Bite_AI,0,0,,Bullet,Light,Slash,,,,,false,0.2,1,1,0,0,0,20,15,20,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0.3,0,0,2,0.1,1,Small ,0
Attack_02_Lunge,Bite_AI,0,0,,Bullet,Heavy,Slash,,AI_Bleed_9,true,Deflect_Default,false,0.6,1,1,3,3,3,30,25,30,2,1.5,0,0.8,2,1.5,0,0.8,0,1,0,0.8,0.9,1.6,0,1,0.8,1,Large,1
Attack_01_Bite_Turn,Bite_AI,0,0,,Bullet,Light,Slash,,,,,false,0.5,1,1,0,0,0,30,25,30,1.5,1.5,0,0.8,1.5,1.5,0,0.8,0,0,0,0.8,0.3,0,0,0,0.4,1,Small ,1
Attack_01_Bite_Frenzy,Bite_AI,0,0,,Bullet,Light,Slash,,,,,false,0.6,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0.4,1,0,0,0.4,1,Small ,1
Attack_03_Bite_Combo,Bite_AI,0,0,,Bullet,Light,Slash,,,,,false,0.5,1,1,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0.3,0,0,0,0.4,1,Small ,1
Attack_Hamstring,Bite_AI,0,0,,Bullet,Heavy,Slash,,AI_Bleed_9,true,Deflect_Default,false,0.7,1,1,0,1,0,20,15,20,0,2,0,0.8,0,2,0,0.8,0,1,0,0.8,0.6,1.6,0,1,0.7,1,Small ,1
Attack_Hamstring_Windup,Bite_AI,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.15,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0.6,1.6,0,1,0.8,1,Small ,0.1
Fall,Fall,1,1,,Bullet,,Falling,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Small ,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,1,Small ,1
Mage_Rolling_Spell,StaffSpells_No_Environment,0,0,true,Bullet,Magic ,Magic,,AI_Snare_6sec,,,false,0.25,1,1,0,0,0,30,25,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0,Small,0,0.33,1,1
Attack_Breakout,Bite_AI,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.9,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,1,0,0.12,0.6,1.6,0,1,0.5,1,Small ,1
Deflect_Default,Unarmed,1,0,,,,Deflect,,,,,,0,1,0,2,2,2,0,0,0,0,1,0,0.8,0,1,0,0.8,0,0,0,0,0,0,0,0,1,1,,1
