DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,1,,0.1625,0.325
Elite_GRIT,Sword,0,0,,Bullet,,Standard,,,,,,,Deflect_Default,false,0,0,,1,1,1,20,15,20,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,Small,0,1,1,1,,0.1625,0.325
Attack_Force_Grab,Sword,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,3,3,3,34,30,34,0,-1,-2,0.7,0,-1,-2,0.7,0,-1,-2,0.7,0,0,,0,Large,Large,Large,4,0,0,0,true,0.1625,0.325
Attack_Force_Grab_Attach,Sword,0,1,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,,0.1625,0.325
Attack_Darkness_Calls,Sword,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.25,1,,2,2,2,27,21,27,0,-2,0,0.7,0,-1.7,0,0.7,0,-2,0,0.7,0,0,,0,Large,Large,Large,3,0.6,0,0,,0.1625,0.325
Attack_Darkness_Calls_Affliction,Sword,0,1,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,,0.1625,0.325
Attack_Flame_Wall,Sword,0,1,,Bullet,Magic,Fire,,,,,,,Deflect_Default,false,0.3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,,0.1625,0.325
Attack_Core_Explosion,Sword,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.8,1,,4,4,4,40,48,40,0,6.5,0,0.75,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.65,0,0,,0.1625,0.325
Attack_Core_Stab,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,0.9,1,,5,5,5,40,48,40,0,0.3,0,0.75,0,0.6,0,0.75,0,0.3,0,0.75,0,0,,0,Large,Large,Large,3,0.65,0,0,,0.1625,0.325
Attack_Hunger_Of_The_Void,Sword,0,1,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,1.2,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0,0,0,,0.1625,0.325
Attack_SwipeL_01,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.85,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_SwipeL_02,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.95,1,,0,1,0,12,15,12,0,1.1,0,0.8,0,1.2,0,0.8,0,1.1,0,0.8,0,0,,0,Small,Small,Small,1,0.45,1,1,,0.1625,0.325
Attack_SwipeR_01,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1,1,,0,1,0,11,12,11,0,1,0,0.8,0,1.1,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,1,0.4,1,1,,0.1625,0.325
Attack_SwipeR_02,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1.1,1,,0,1,0,13,14,13,0,1.15,0,0.8,0,1.15,0,0.8,0,1.15,0,0.8,0,0,,0,Small,Small,Small,1,0.5,1,1,,0.1625,0.325
Attack_Stab_01,Sword,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,1.05,1,,0,2,0,14,21,14,0,1.45,0,0.8,0,1.4,0,0.8,0,1.45,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_Stab_02,Sword,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,1.15,1,,0,2,0,15,25,15,0,1.65,0,0.8,0,1.5,0,0.8,0,1.65,0,0.8,0,0,,0,Small,Small,Small,2,0.65,1,1,,0.1625,0.325
Attack_Double_Spin_Combo,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1,1,,1,1,1,13,18,13,0,1.1,0,0.8,0,0.9,0,0.8,0,1.1,0,0.8,0,0,,0,Small,Small,Small,1,0.4,1,1,,0.1625,0.325
