DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Rapid_Stab1,Sword,0,0,Bullet,Light,Thrust,,,,false,0.4,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,0,0.1625,0.325
Rapid_Stab2,Sword,0,0,Bullet,Light,Thrust,,,,false,0.5,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,0,0.1625,0.325
Rapid_Stab3,Sword,0,0,Bullet,Heavy,Thrust,,,,false,0.6,1,1,2,1,,20,20,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.6,1,1,0.1625,0.325
Lunge,Sword,0,0,Bullet,Heavy,Thrust,,,,false,1.1,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1,1,1,0.1625,0.325
Pistol_Blast,CorruptedMagic,0,0,Bullet,Heavy,Thrust,,,,false,0.6,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.8,1,1,0.1625,0.325
SlashShot_Slash,CorruptedMagic,0,0,Bullet,Heavy,Slash,,,,false,0.4,1,1,2,1,,25,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SlashShot_Shot,CorruptedMagic,0,0,Bullet,Heavy,Thrust,,,,false,0.8,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.8,1,1,0.1625,0.325
ShoulderSlash_Wave,CorruptedSlash,0,0,Bullet,Heavy,Slash,,,,false,0.6,1,1,2,1,,25,20,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.7,1,1,0.1625,0.325
SpellBall,CorruptedMagic,0,0,Bullet,Magic,Corruption,,,,false,0.4,1,1,2,1,,25,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SpellBall_Shard,CorruptedMagic,0,0,Bullet,Magic,Corruption,,,,false,0.6,1,1,2,1,,25,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SlashStab_2Hit_01,Sword,0,0,Bullet,Light,Slash,,,,false,0.45,1,1,0,1,,15,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SlashStab_2Hit_02,Sword,0,0,Bullet,Heavy,Thrust,,,,false,0.45,1,1,2,1,,20,20,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SlashStab_01,Sword,0,0,Bullet,Light,Slash,,,,false,0.5,1,1,0,1,,20,10,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,0,0.1625,0.325
SlashStab_02,Sword,0,0,Bullet,Light,Slash,,,,false,0.35,1,1,0,1,,15,10,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.35,1,0,0.1625,0.325
SlashStab_03,Sword,0,0,Bullet,Heavy,Slash,,,,false,0.35,1,1,1,1,,15,10,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.35,1,1,0.1625,0.325
SlashStab_04,Sword,0,0,Bullet,Heavy,Thrust,,,,false,0.6,1,1,2,1,,20,10,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.6,1,1,0.1625,0.325
Turn_Slash,Sword,0,0,Bullet,Heavy,Slash,,,,false,0.5,1,1,2,1,,20,20,,0,1,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,1,0.1625,0.325
Backhand_Slash,Sword,0,0,Bullet,Heavy,Slash,,,,false,1.3,1,1,4,2,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1.3,1,1,0.1625,0.325
Kill_Self,Fall,1,1,Bullet,,Falling,,,,,100,1,,2,2,,0,0,,0,0,0,0,0,0,0,0,,,,,10000000000000,,,,,,,0,0,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,1,1,,2,2,,0,0,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,0,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,10,Small,,,1,,,1,0.1625,0.325
