DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
DunePhantom_1H_Sword_Slash_Left,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.2,0.2,0.2,0,1,1,10,10,15,0,0.5,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,3,0.3,1,1,0.1625,0.325
DunePhantom_1H_Sword_Slash_Right,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.1,0.1,0.1,0,1,1,10,10,15,0,0.5,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,3,0.2,1,1,0.1625,0.325
DunePhantom_1H_Sword_Attack360_1,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.3,0.3,0.3,0,0,0,20,15,20,0,0.5,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.5,,1,Small,Small,Small,3,0.4,1,1,0.1625,0.325
DunePhantom_1H_Sword_Attack360_2,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.5,0.5,0.5,0,0,0,25,20,25,0,0.65,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1,,2,Small,Small,Small,3,0.5,1,1,0.1625,0.325
DunePhantom_Flying_Attack,Sword,0,0,,Bullet,Heavy,Thrust,,AI_Bleed_9,true,Deflect_Default,true,0.4,0.4,0.4,2,2,3,20,15,20,0,0.5,0,0.8,0,0,0,0.8,0,2.5,0,0.8,0,0.5,,1,Small,Small,Small,4,0.7,1,1,0.1625,0.325
DunePhantom_Berserker_SwordFury_1,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,true,0.3,0.3,0.3,0,0,0,25,25,25,0,0.25,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.5,,2,Small,Small,Small,4,0.3,1,1,0.1625,0.325
DunePhantom_Berserker_SwordFury_2,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,true,0.2,0.2,0.2,0,0,0,20,20,20,0,0.25,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.25,,1,Small,Small,Small,3,0.2,1,1,0.1625,0.325
DunePhantom_Berserker_SwordFury_3,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,true,0.2,0.2,0.2,0,0,0,20,20,20,0,0.25,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0.25,,1,Small,Small,Small,3,0.2,1,1,0.1625,0.325
DunePhantom_Berserker_SwordFury_4,Sword,0,0,,Bullet,Heavy,Slash,,AI_Bleed_9,true,Deflect_Default,true,0.5,0.5,0.5,0,0,0,25,25,25,0,0.85,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.8,,1,Small,Small,Small,4,0.3,1,1,0.1625,0.325
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,Small,3,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,Small,3,,,1,0.1625,0.325
