DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Unblockable,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Lost_TwinJesters_FieryCackle,CorruptedMagic,0,0,true,Bullet,Magic,Fire,false,,,1,Deflect_Default,0,0.5,0,1,1,1,1,15,15,15,0,0,0,0.8,0,0.2,0,0.8,0,1.5,0,0.8,0,1,,0.7,Medium,Medium,3,1000,1,0.67,0.1625,0.325
Lost_TwinJesters_HorizontalSwipe_Heavy,Blunt_AI,0,0,,Bullet,Heavy,Strike,false,,,,Deflect_Default,0,0.8,1,1,2,2,2,20,20,20,0,2,0,0.85,0,0.5,0,0.85,0,1.3,0,0.85,0,0.2,,0.6,Small,Small,3,0.7,1,0,0.1625,0.325
Lost_TwinJesters_HorizontalSwipe_HeavyBack,Blunt_AI,0,0,,Bullet,Heavy,Strike,false,,,,Deflect_Default,0,0.3,1,1,2,2,2,20,20,20,0,2,0,0.85,0,0.5,0,0.85,0,1.3,0,0.85,0,0.2,,0.6,Small,Small,3,0.2,1,0,0.1625,0.325
Lost_TwinJesters_Interlude,CorruptedMagic,1,,,,,True,true,,,0,,0,0,0,0,4,4,4,35,35,35,0,5.5,0,0.8,0,5.5,0,0.8,0,5.5,0,0.8,0,1,,0,Small,Small,0,2,1,1,0.1625,0.325
Lost_TwinJesters_GrandFinale,CorruptedMagic,1,,,,,True,true,,StatusEffect_Boss_TeamWipe,0,,0,999,999,999,4,4,4,35,35,35,0,5.5,0,0.8,0,5.5,0,0.8,0,5.5,0,0.8,0,1,,0,Small,Small,0,2,1,1,0.1625,0.325
Lost_TwinJesters_Siphon,,1,,,,,True,true,,,0,,0,999,999,999,1,1,1,35,35,35,0,5.5,0,0.8,0,5.5,0,0.8,0,5.5,0,0.8,0,1,,0,Small,Small,0,2,1,1,0.1625,0.325
Lost_TwinJesters_TwinDance_Hit1,Blunt_AI,0,0,false,Bullet,Light,Strike,false,,,,Deflect_Default,0,0.2,1,1,2,2,2,20,20,20,0,2,0,0.75,0,0.3,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.3,1,0,0.1625,0.325
Lost_TwinJesters_TwinDance_Hit2,Blunt_AI,0,0,false,Bullet,Light,Strike,false,,,,Deflect_Default,0,0.2,1,1,2,2,2,20,20,20,0,2,0,0.75,0,0.3,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.3,1,0,0.1625,0.325
Lost_TwinJesters_TwinDance_Hit3,Blunt_AI,0,0,false,Bullet,Light,Strike,false,,,,Deflect_Default,0,0.2,1,1,2,2,2,20,20,20,0,2,0,0.75,0,0.3,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.3,1,0,0.1625,0.325
Lost_TwinJesters_TwinDance_AoE,Blunt_AI,0,0,false,Bullet,Heavy,Strike,false,,,,Deflect_Default,0,0.4,1,1,3,3,3,25,25,25,0,3,0,0.75,0,1,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.7,1,0,0.1625,0.325
