DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Damned_1H_Melee_Light,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.5,1,1,0,1,0,20,15,20,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1,0.1625,0.325
Damned_1H_Melee_Primary,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.5,1,1,0,1,0,20,15,20,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1,0.1625,0.325
Damned_1H_Melee_Heavy,Sword,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,1.2,1,1,3,3,3,30,25,30,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1.2,,1,Small,Small,Small,3,0.45,1,1,0.1625,0.325
Damned_1H_Melee_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,1.63,1,1,3,3,3,30,25,30,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1.2,,1,Small,Small,Small,3,0.45,1,1,0.1625,0.325
Damned_Spell_Fireball,CorruptedMagic,0,0,true,Bullet,Magic,Fire,,,,Deflect_Default,false,1.83,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0.33,1,1,0.1625,0.325
Damned_Spell_GroundWave,CorruptedMagic,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,1.37,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0.33,1,1,0.1625,0.325
Damned_Spell_AOE,CorruptedMagic,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,2.43,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0.33,1,1,0.1625,0.325
Deflect_Default,Unarmed,1,0,,,,Deflect,,,,,false,0,0,1,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,Small,Small,Small,0,0.45,1,1,0.1625,0.325
Damned_Priest_Fireball_Spell,CorruptedMagic,0,0,true,Bullet,Magic,Corruption,,,,,false,1.44,1,1,1,1,1,10,15,10,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,0,Small,Small,Small,0,0.25,1,1,0.1625,0.325
Invasion_Priest_Fireball_Spell,CorruptedMagic,0,0,true,Bullet,Magic,Corruption,,,,,false,1.44,1,1,1,1,1,10,15,10,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,0,Small,Small,Small,0,0.25,1,1,0.1625,0.325
Damned_Priest_GroundWave_Spell,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,false,1,1,1,2,2,2,30,25,30,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,0,Small,Small,Small,0,1,1,1,0.1625,0.325
Damned_Priest_Ranged_AOE_Spell,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,false,1,0.8,1,3,2,3,30,25,30,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,0,Small,Small,Small,0,1,1,1,0.1625,0.325
Damned_Priest_BlastAway_Spell,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,false,1.84,1,1,4,4,4,30,25,30,0,6,0.75,0.8,0,0,0,0.8,0,6,0.75,0.8,0,1.2,,1,Small,Small,Small,1,1,1,1,0.1625,0.325
Damned_Priest_Close_Staff_Attack,Unarmed,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,1.75,0,0.8,0,0,0,0,0,1.75,0,0.8,0,1.5,,1.75,Small,Small,Small,1,0.25,1,1,0.1625,0.325
Damned_Priest_Close_Overhead_Staff_Attack,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,1.38,1,1,3,3,3,35,30,35,0,1.75,0,0.8,0,0,0,0,0,1.75,0,0.8,0,1.5,,1.75,Small,Small,Small,1,1.5,1,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,1,0.1625,0.325
