DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,HitRuneCharge,HitBlockedRuneCharge
Overhead_Slam,Unarmed,,0,0,,Heavy,Strike,,AI_Stun_2sec,true,Deflect_Default,false,0.75,1,8,8,3,20,20,15,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,1.25,1,0,0.1625,0.325
Overhead_Slam_Charge,Unarmed,,0,0,,Heavy,Strike,,AI_Stun_2sec,true,Deflect_Default,false,1,1,8,8,3,20,20,15,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,1.25,1,0,0.1625,0.325
Shockwave_Clap,Unarmed,,0,0,,Heavy,Strike,,AI_Weaken,true,Deflect_Default,false,0.5,1,8,8,3,20,20,15,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,1.25,1,0,0.1625,0.325
Swipe_Left,Unarmed,,0,0,,Light,Slash,,,,Deflect_Default,false,0.6,1,0,2,2,20,20,15,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.6,1,0,0.1625,0.325
Swipe_Left_Combo,Unarmed,,0,0,,Light,Slash,,,,Deflect_Default,false,0.6,1,0,4,4,20,20,15,2.5,2,0,0.8,2.5,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.35,1,0,0.1625,0.325
Swipe_Right,Unarmed,,0,0,,Light,Slash,,,,Deflect_Default,false,0.6,1,0,2,2,20,20,15,-1,2,0,0.8,-1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.6,1,0,0.1625,0.325
Swipe_Right_Combo,Unarmed,,0,0,,Light,Slash,,,,Deflect_Default,false,0.6,1,0,2,2,20,20,15,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.35,1,0,0.1625,0.325
Shoulder_Charge,Unarmed,,0,0,,Heavy,Strike,,,,Deflect_Default,false,0.4,1,4,4,4,20,20,15,1,3,0,0.8,1,3,0,0.8,0,0,0,0.8,0,1,1,Small,3,1,1,0,0.1625,0.325
Shoulder_Charge_Boss,Unarmed,,0,0,,Heavy,Strike,,,,Deflect_Default,false,0.4,1,4,4,4,20,20,15,1,3,0,0.8,1,3,0,0.8,0,0,0,0.8,0,1,1,Small,3,1,1,0,0.1625,0.325
Brute_Shockwave,Unarmed,,0,0,,Heavy,Strike,,AI_Stun_4sec,true,Deflect_Default,false,0.4,1,2,2,2,20,20,15,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.6,1,0,0.1625,0.325
Brute_Boss_BurningCharge,Unarmed,,0,1,,Magic,Fire,,AI_Burn_9,true,Deflect_Default,false,0.4,1,2,2,2,20,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0.3,1,0,0.1625,0.325
Shoulder_Charge_Run,Unarmed,,0,0,,Heavy,Strike,,,,Deflect_Default,false,0.4,1,2,2,2,20,20,15,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.5,1,0,0.1625,0.325
Fist_Punch_Left,Unarmed,,0,0,,Heavy,Slash,,,,Deflect_Default,false,0.4,1,2,2,2,20,20,15,1,3,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.6,1,0,0.1625,0.325
Fist_Punch_Left_NoKnockback,Unarmed,,0,0,,Heavy,Slash,,,,Deflect_Default,false,0.3,1,2,2,2,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,1,Small,1,0.3,1,0,0.1625,0.325
Fist_Punch_Right,Unarmed,,0,0,,Heavy,Slash,,,,Deflect_Default,false,0.4,1,2,2,2,20,20,15,1,3,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.6,1,0,0.1625,0.325
Fist_Punch_Right_NoKnockback,Unarmed,,0,0,,Heavy,Slash,,,,Deflect_Default,false,0.3,1,2,2,2,0,0,0,0,0,0,0.8,1,2,0,0.8,0,0,0,0.8,0,0,1,Small,1,0.3,1,0,0.1625,0.325
Rocket_Punch,Unarmed,1,0,0,,Heavy,Strike,,,,,false,0.4,1,4,4,4,25,25,25,0,4,0,0.8,0,4,0,0.8,0,0,0,0.8,0.05,2.2,0,Small,1,1.5,1,1,0.1625,0.325
Boss_InfernoSlam_LeftRight,Unarmed,,0,0,,Heavy,Slash,,,,Deflect_Default,false,0.3,1,2,2,2,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,1,Small,1,0.3,1,0,0.1625,0.325
Boss_InfernoSlam_Fire,Unarmed,,0,1,,Magic,Fire,,AI_Burn_9,true,Deflect_Default,false,0.4,1,2,2,2,20,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0.3,1,0,0.1625,0.325
Boss_InfernoSlam_Overhead,Unarmed,,0,0,,Heavy,Strike,,AI_Stun_2sec,true,Deflect_Default,false,1,1,8,8,3,20,20,15,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,1.25,1,0,0.1625,0.325
Boss_DivineRage,AncientMagic,0,0,,Bullet,Magic,Arcane,,,,,false,1,1,1,4,4,20,15,20,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.33,1,0,0.1625,0.325
Attack_Throw,Unarmed,1,0,0,,Heavy,Thrust,,,,Deflect_Default,false,1,1,3,4,2,30,35,20,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,2,1,0,0.1625,0.325
Attack_Stomp,Unarmed,,0,0,,Heavy,Strike,,,,Deflect_Default,false,0.4,1,2,2,2,20,20,15,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.5,1,0,0.1625,0.325
Attack_Pull_1,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,0,0,3,3,3,30,30,30,0,-3,0,0.8,0,-3,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
